	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
BANKSY_default	0.468122	0.590221	0.569927	0.55601	0.455349	0.567912	0.578251	0.545247	0.476977	0.549096	0.458589	0.565795	0.661041	0.123595	0.375577	0.339668	0.394735	0.648273	0.374622	0.704774	0.61261	0.637665	0.64722	0.51769	0.605547	0.624286	0.541372	0.558394	0.539203	0.525404	0.565716	0.538109	0.595708
BANKSY_dlpfc	0.521703	0.595373	0.576418	0.569949	0.475859	0.561135	0.566268	0.575172	0.550318	0.594003	0.537129	0.657358	0.667347	0.169348	0.397049	0.439217	0.423046	0.67914	0.378661	0.692869	0.623191	0.69174	0.660557	0.661089	0.604914	0.626918	0.548648	0.547724	0.53814	0.533808	0.573365	0.547438	0.593016
BANKSY_github	0.490404	0.569868	0.611933	0.527299	0.482857	0.552711	0.57099	0.564275	0.503685	0.517755	0.516506	0.529481	0.647893	0.127436	0.370204	0.34665	0.405104	0.597972	0.384112	0.6764	0.646188	0.632185	0.639287	0.643173	0.606636	0.626121	0.542248	0.548598	0.542563	0.525962	0.580293	0.543781	0.596845
BANKSY_starmap	0.472345	0.514882	0.603231	0.526907	0.400352	0.595607	0.468269	0.406003	0.46052	0.45808	0.442141	0.463292	0.690725	0.114628	0.353531	0.251947	0.34244	0.523628	0.303076	0.645782	0.641033	0.696076	0.682166	0.725109	0.669556	0.557312	0.544991	0.554292	0.548413	0.542212	0.553507	0.562567	0.608931
BayesSpace_1	0.424874	0.605983	0.706629	0.544375	0.407629	0.62999	0.561963	0.537812	0.542457	0.633935	0.435294	0.567492	0.642121	0.461869	0.563086	0.535285	0.525909																
BayesSpace_default	0.596968	0.613281	0.725318	0.482449	0.491135	0.636477	0.55526	0.546998	0.589861	0.554204	0.535687	0.544205	0.646447	0.489539	0.546453	0.531145	0.550457																
BayesSpace_melanoma	0.428654	0.605713	0.705985	0.543793	0.407276	0.63022	0.562046	0.55518	0.541082	0.633854	0.435047	0.565145	0.641031	0.515315	0.565776	0.532819	0.525675																
BayesSpace_scc	0.635189	0.61252	0.7242	0.481257	0.491224	0.636061	0.554742	0.545775	0.588671	0.555404	0.536133	0.545518	0.646694	0.49225	0.544548	0.532725	0.558444																
CellCharter_1	0.504581	0.591788	0.660938	0.520198	0.492857	0.642169	0.572587	0.529567	0.496491	0.641391	0.453067	0.592582	0.699249	0.368611	0.471469	0.457363	0.477297	0.526627	0.330814	0.618337	0.585613	0.585535	0.596481	0.678518	0.621408	0.574559	0.532144	0.55362	0.521955	0.562052	0.540018	0.529191	0.581847
CellCharter_2	0.498615	0.576028	0.657627	0.549921	0.479884	0.642357	0.545326	0.523855	0.531375	0.536113	0.423438	0.571655	0.706075	0.342026	0.457381	0.455547	0.498276	0.517128	0.318181	0.60676	0.610283	0.57215	0.598288	0.661182	0.637395	0.516775	0.544301	0.536949	0.524343	0.55093	0.526399	0.557215	0.581811
CellCharter_default	0.50978	0.581498	0.660539	0.549587	0.474474	0.641197	0.560833	0.509906	0.527376	0.591671	0.439273	0.58267	0.688929	0.366914	0.46602	0.45305	0.506774	0.542781	0.33514	0.705738	0.616726	0.600474	0.651016	0.692358	0.661269	0.547724	0.498168	0.534608	0.509172	0.551269	0.506674	0.528525	0.602574
CellCharter_dlpfc	0.535284	0.619433	0.628305	0.584981	0.409694	0.565009	0.607946	0.553765	0.611596	0.610079	0.441479	0.602732	0.654706	0.3666	0.472446	0.413878	0.413251	0.520048	0.306573	0.693752	0.60533	0.599091	0.550531	0.670589	0.549625	0.529419	0.483405	0.474593	0.480572	0.486399	0.523198	0.507467	0.524126
DRSC_FindSVGs	0.553628	0.552076	0.559698	0.510466	0.467704	0.57779	0.557457	0.528589	0.480605	0.509103	0.475528	0.540788	0.680142	0.406139	0.591926	0.575368	0.616612	0.45121	0.140239	0.495512	0.305465	0.422555	0.27024	0.42337	0.417718	0.41872	0.357245	0.390212	0.361086	0.345968	0.343593	0.363967	0.304225
DRSC_FindVariableFeatures	0.51598	0.507499	0.5967	0.541625	0.365707	0.59992	0.473257	0.405525	0.510496	0.578316	0.44043	0.442719	0.647551	0.477488	0.607211	0.559192	0.602989	0.207258	0.127559	0.428349	0.2881	0.365969	0.258438	0.263778	0.349974	0.31085	0.381657	0.380477	0.352462	0.337136	0.344287	0.363424	0.304225
DRSC_all_genes	0.557278	0.645065	0.661693	0.470599	0.459084	0.63776	0.655023	0.590471	0.548668	0.659025	0.510657	0.579808	0.656706	0.189873	0.568706	0.549205	0.454763	0.418363	0.121418	0.395458	0.306112	0.366952	0.314717	0.388598	0.354496	0.449704	0.381657	0.380477	0.352462	0.337136	0.344287	0.363424	0.304225
DRSC_default	0.638982	0.626661	0.670516	0.613956	0.478353	0.622707	0.552725	0.628102	0.549226	0.63852	0.512278	0.592214	0.659018	0.445291	0.596451	0.562239	0.657522	0.418363	0.121418	0.395458	0.306112	0.366952	0.314717	0.388598	0.354496	0.449704	0.381657	0.380477	0.352462	0.337136	0.344287	0.363424	0.304225
GraphST_1	0.579916	0.622465	0.691479	0.597492	0.42182	0.699195	0.607228	0.563566	0.527136	0.608584	0.582288	0.587173	0.683088	0.160869	0.469417	0.390755	0.434461																
GraphST_2	0.570937	0.601057	0.671475	0.558702	0.374815	0.611521	0.553912	0.502882	0.544678	0.620266	0.506941	0.508122	0.640661	0.60424	0.533337	0.571084	0.539825																
GraphST_default	0.666979	0.611967	0.669674	0.606055	0.471718	0.644838	0.576925	0.564971	0.628533	0.687181	0.560423	0.586071	0.648907	0.463296	0.500672	0.531335	0.554044																
GraphST_dlpfc	0.709224	0.633715	0.726374	0.631102	0.526796	0.705026	0.592228	0.594125	0.671656	0.722574	0.61524	0.633028	0.682494	0.233528	0.475995	0.412449	0.516723																
SEDR_1	0.652329	0.635399	0.671033	0.703597	0.408389	0.650059	0.663927	0.667009	0.67453	0.668084	0.565156	0.618573	0.632937	0.429937	0.43912	0.487905	0.51518	0.592608	0.253015	0.640812	0.486037	0.469673	0.590949	0.609397	0.599538	0.59927	0.472455	0.471526	0.477226	0.513485	0.479985	0.493198	0.517435
SEDR_2	0.712768	0.70857	0.661208	0.70752	0.423617	0.652442	0.644493	0.627392	0.678456	0.711081	0.567813	0.641881	0.642341	0.297362	0.425412	0.418981	0.56329	0.571224	0.289178	0.648366	0.549299	0.513521	0.690504	0.628885	0.610892	0.585513	0.476909	0.480196	0.478001	0.504059	0.486191	0.486407	0.533655
