	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
BANKSY_default	0.0103458	0.0173273	0.0132999	0.00766175	0.0151427	0.0152447	0.014417	0.0108108	0.00963222	0.00825309	0.00691754	0.0171429	0.0434439	0.00133869	0.024911	0.0183113	0.0177453	0.0173903	0.0202208	0.00924563	0.010256	0.00867387	0.0108023	0.00492111	0.0083293	0.0181078	0.0223418	0.0206428	0.0217618	0.0153961	0.0196778	0.0215618	0.0159293
BANKSY_dlpfc	0.0103458	0.0137669	0.0143036	0.012202	0.0107746	0.0137694	0.0167154	0.0175135	0.0107998	0.00935351	0.0113448	0.0166857	0.0387046	0.00937082	0.0254194	0.0488301	0.0250522	0.0201174	0.0179253	0.00807639	0.00828057	0.0103093	0.00881417	0.00779462	0.0077294	0.0171921	0.0212436	0.022137	0.0208881	0.0141625	0.0184214	0.0221931	0.0159083
BANKSY_github	0.0130683	0.0168526	0.0150565	0.0175936	0.0148515	0.0162282	0.0200585	0.0175135	0.0137186	0.0115543	0.0105147	0.0221714	0.0416008	0.0	0.0193188	0.0254323	0.0187891	0.0185365	0.0187354	0.00866101	0.0139092	0.00896369	0.0109791	0.007743	0.00888304	0.0184709	0.0229297	0.0243395	0.0247216	0.0180641	0.0217247	0.0261006	0.0228971
BANKSY_starmap	0.00735094	0.00830762	0.00752823	0.00879682	0.00553291	0.010327	0.0137902	0.00713514	0.0107998	0.00990371	0.00581074	0.00662857	0.0255398	0.00133869	0.0137265	0.00508647	0.00991649	0.0134379	0.0108699	0.00407067	0.00589923	0.00513394	0.00470531	0.00509317	0.00403775	0.0170816	0.013922	0.0141476	0.0121424	0.00943847	0.0134292	0.0140873	0.0118368
BayesSpace_1	0.0427444	0.0370282	0.0301129	0.0451192	0.0387303	0.0177035	0.0568324	0.0512432	0.048453	0.0354883	0.039845	0.0299429	0.167193	0.285141	0.131673	0.269074	0.205637																
BayesSpace_default	0.0383882	0.0446238	0.029611	0.0547673	0.0369831	0.0236046	0.0315504	0.0419459	0.0621716	0.0602476	0.0312673	0.0413714	0.114534	0.178046	0.145907	0.250763	0.172234																
BayesSpace_melanoma	0.0443779	0.0372656	0.0303639	0.0459705	0.0387303	0.0174576	0.0570414	0.0501622	0.0490368	0.0376891	0.0403985	0.0308571	0.164297	0.291834	0.13574	0.268566	0.206681																
BayesSpace_scc	0.0438334	0.0455732	0.0286073	0.0550511	0.0366919	0.0231129	0.0313414	0.0432432	0.0630473	0.0594223	0.0312673	0.0409143	0.121643	0.178046	0.142857	0.247202	0.178497																
CellCharter_1	0.028587	0.0246855	0.02133	0.0286606	0.0163075	0.0216376	0.0198496	0.0268108	0.0283129	0.0283356	0.0290537	0.024	0.0413375	0.0414993	0.0686324	0.105799	0.0600209	0.0457483	0.0398339	0.0208297	0.0306327	0.0348404	0.0394097	0.0265155	0.0267183	0.0383784	0.0584281	0.0501386	0.0442903	0.0373618	0.0431082	0.0416408	0.0601984
CellCharter_2	0.0258644	0.0189888	0.0198243	0.0244041	0.0195108	0.0184411	0.0238195	0.0255135	0.0186807	0.0176066	0.0163254	0.0208	0.0410742	0.0307898	0.0640569	0.0940997	0.0641962	0.0444835	0.0307869	0.0212195	0.025437	0.0314454	0.0247194	0.0245711	0.0222884	0.0431934	0.0409895	0.044749	0.0650893	0.0369602	0.0418768	0.0356191	0.0271015
