	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
GraphST_default	0.5802769167221709	0.44788431119671596	0.5808823907997203	0.5108805344212133	0.41122967293916124	0.5931063379331594	0.40739013112219213	0.4136208817541746	0.5410896187387867	0.6048034717060353	0.5053029060770714	0.45813321985551136	0.5189536072791939	0.3848313832238721	0.4841404849587645	0.4492281614537833	0.49305513691122266																
GraphST_2	0.45805611419499276	0.4918612349163188	0.6572031691752396	0.4490680786090462	0.22530031437759165	0.5508838130584891	0.3882577435513844	0.3879541304327588	0.3844068619008364	0.48965387785451514	0.42953998144778716	0.4272291122182477	0.5133260746393916	0.6672903080212857	0.5273391189383463	0.48132204950566726	0.47510424608211116																
GraphST_dlpfc	0.6187025970352603	0.4577981254990074	0.6237594736310423	0.5343929828655579	0.4495788796091206	0.6302060675042381	0.4002077924423088	0.43441517197003593	0.5894277438566806	0.6430536093702957	0.5287865524814779	0.48634882909933436	0.5491397297842273	0.12278229085612445	0.45458897788092906	0.3367998503976974	0.40169075564749684																
GraphST_1	0.4583403707308896	0.5063631854476583	0.6658345042720061	0.49664755167284397	0.23747705304672231	0.6066975873681287	0.4476532354439178	0.43207398949654996	0.37233225485376015	0.4813090805720481	0.4645716412217644	0.48308730685643797	0.567883018017495	0.1827284755271887	0.4659504705356966	0.3431416382855895	0.349331517114412																
SEDR_default	0.5117232072119055	0.544075333539634	0.5577401270363883	0.5440160683108232	0.26253668792197077	0.5712213611281014	0.5119664168018849	0.42603064340796887	0.5198228677465517	0.5464374355776077	0.4108846699224173	0.500532763389402	0.4371957936611739	0.2553458831220247	0.39421634931832983	0.4218203712665109	0.3994490916560449	0.5816391253942005	0.19447666627278318	0.5145458263029302	0.39483138910446114	0.28147787516991424	0.42940719654396664	0.5877914137902595	0.624973154564465	0.6094438533631804	0.26378542789666765	0.2942550563789579	0.30850294596362965	0.26805646720921816	0.2709048606056768	0.27942622644421516	0.3146262217799039
SEDR_2	0.5890960514834572	0.5582845163604262	0.5608811760887005	0.5563396015179872	0.36305319649727974	0.5929697343638208	0.5091932611522628	0.507334979365141	0.5247536653520173	0.5785444605487695	0.4919478793562077	0.5032987672068566	0.45592543674025904	0.16557225834109698	0.3620987536764106	0.29603370232944	0.5240305759021228	0.5459782224888743	0.17067093422979807	0.67177468089847	0.41605551238186317	0.3403272863278955	0.6420764618087095	0.6402078598450739	0.6328773045257983	0.4942157585192989	0.2935131144593197	0.3066618020979284	0.27404591467030043	0.2943698753497964	0.30947356190107145	0.27888108895817015	0.356748679093826
SEDR_dlpfc	0.6098991601724869	0.4898125862004544	0.5618615880337086	0.5278490326154652	0.2744055477233161	0.6124647424195157	0.5243310691680206	0.4329261484676601	0.496286564960226	0.46739665770144934	0.3975592921068156	0.4853541476734788	0.39937148030307956	0.25425751470048324	0.3933805507742524	0.3633352953794552	0.33453029782654625	0.5490007379608844	0.21204064766597913	0.4827941189444259	0.5731916628978442	0.4321233689476304	0.514984595967269	0.4930061237926793	0.4424559610527532	0.5691994318278736	0.2767567248279062	0.2318205230147574	0.32930537447358366	0.300234107992143	0.31548485324009645	0.28922784440164495	0.32037197662326244
SEDR_1	0.5365687824286479	0.49651476486845875	0.5802230446599983	0.5923954875488804	0.26378638858980574	0.5861543538976235	0.5801002807356458	0.5696162429629541	0.5396239289373975	0.5672756316963796	0.514474601440204	0.49442684561916467	0.4295258785414923	0.32265996578005596	0.38843910116564156	0.4176298297122501	0.4413896051255237	0.5972978021546245	0.13852725622050968	0.6639197119958666	0.33434423531863516	0.26339427284824546	0.48673018491467657	0.6191510447931606	0.6154265980387927	0.6127496588702214	0.2844631775475264	0.2831852227990076	0.29720826353671453	0.3422894009422846	0.29985091350602927	0.3160125832920894	0.3699802863144961
STAGATE_starmap	0.37081004071030416	0.49833029171022186	0.549823702878171	0.3997531302329409	0.3918020471695231	0.5974377956047628	0.4538936168465299	0.5209571082034485	0.5844159525186103	0.3818434853309773	0.29064061974055144	0.5057829991324561	0.4468600569778087	0.3289933355348882	0.4409224442218362	0.4051210597323127	0.4064460963141829	0.3671229498341667	0.1723686310435821	0.498576868822638	0.42236125566180244	0.4459648085490573	0.46715893489693855	0.5413641718824312	0.4915321182308182	0.3810270093067893	0.3270761258517884						
STAGATE_default	0.4652402584770839	0.523629843009734	0.5174766962558648	0.601199309715889	0.4706518810313856	0.59484886321875	0.39546712021839786	0.4939484773519658	0.42526287025180304	0.5977873139939411	0.3761850169946606	0.49566746371254145	0.4069818259864174	0.5299414676624129	0.6475434418831731	0.46872748233585937	0.5988891708302249	0.49069527259931534	0.18208553609440656	0.5692622937417984	0.47281164034434564	0.25785910778061644	0.5288614076647544	0.6704908898643704	0.39914451973532544	0.4476075821253558	0.2642644748679948	0.26012043854289174	0.29279238949621433	0.27940991002674104	0.31139612308079795	0.2599361368006026	0.334549294993581
