	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
GraphST_default	0.666453881293977	0.6633688601819285	0.6570384645448136	0.62020944483223	0.47197126781208015	0.6441843368005575	0.5838093146440038	0.5642267697780772	0.6264829197442923	0.6864252921515936	0.5580724258921043	0.5860926085409376	0.648906780132482	0.46329552961295944	0.5006718249715155	0.5313354950859148	0.5540436198465334																
GraphST_2	0.5732523641570313	0.6565427663000998	0.6971062827864178	0.5587712450625381	0.37487361258403584	0.610702831386108	0.5540023656077496	0.502202182846545	0.5422176831043388	0.6234385310506947	0.5045096097109184	0.5082298747998731	0.6406608971187371	0.6042402173387823	0.5333370098067223	0.5710838154513771	0.5398254049874669																
GraphST_dlpfc	0.7073589039434935	0.6926373973329699	0.7173784372184522	0.6575429233587665	0.5269739061111414	0.7049906623035136	0.6268192868913265	0.5933802156977324	0.674060338483302	0.7237450938947465	0.6126537691540123	0.6363729495252619	0.6861038580244252	0.25075089533031286	0.5670206992710795	0.41244896209588683	0.5198915312410967																
GraphST_1	0.5806855955894605	0.7050757295553762	0.7202747187039793	0.6264039965682884	0.42309987018015766	0.6993943532950366	0.6073136119113856	0.5646139524010617	0.5671721434804754	0.6398778647296686	0.5824013116542462	0.5872420502812383	0.6830878613111169	0.22497021712472604	0.4694166168745899	0.4326473274523676	0.43446130609360917																
SEDR_default	0.6619934064541796	0.6965151719068682	0.6583468798774126	0.6727648146286528	0.40510014550262996	0.6523258016030741	0.6777969175833686	0.5674168422757747	0.6602675979258554	0.6885432219631372	0.5410413615994198	0.6283566815249243	0.6370556886666239	0.32754876013606676	0.46042321184514434	0.5210208679125891	0.49252196574155366	0.582029702404125	0.295602535332123	0.6732008374979132	0.5118449798717882	0.4763667327072326	0.5252137198914254	0.6603944523482738	0.7534093277103834	0.5900652335775264	0.46603449654882384	0.4853605031000815	0.48424892325972035	0.4793118273002742	0.46700762948254304	0.47458395843504025	0.4572031362309555
SEDR_2	0.7128014442896676	0.7089030955582485	0.6557473546893726	0.7063039620925495	0.4271071062551539	0.6512889481802139	0.6445435146839179	0.6269604150033055	0.6823597722531357	0.7102820573809223	0.5706613361528291	0.6418909291308199	0.642340964804118	0.29736209987114265	0.4254116631077477	0.41898052901200233	0.5632898129328027	0.5712236229013827	0.2891780192932594	0.7313298129107448	0.5492987981078205	0.5135214165265859	0.6943759646611525	0.6782092034944647	0.7613630221548936	0.5855131949332629	0.4769090292056574	0.4801962238757013	0.478000899208931	0.5040588860325539	0.4861913983126796	0.48640663260703815	0.533655229145642
SEDR_dlpfc	0.7229867153612635	0.6923433677689284	0.6637962510300836	0.7005284729553535	0.4078674809008768	0.6695714213376891	0.6525371319961725	0.5957537223757718	0.6809943669864476	0.6417917536737731	0.5515207744500983	0.617259669596133	0.6328444356696042	0.3079872530205199	0.4377233588193319	0.4916925697609646	0.4525796517084905	0.5710520799937038	0.3124702430685218	0.6740128158348717	0.594816855019062	0.5801146678546335	0.6041303516748167	0.6160208504235889	0.6646015831231741	0.5907953732500872	0.47172318261728174	0.4582647633368291	0.501619416401539	0.49383829839592885	0.4953158639941487	0.499086340263157	0.49448848030584164
SEDR_1	0.6546480561732368	0.6894628764376484	0.6593496969246325	0.7024668023108617	0.40931573728952775	0.648930426456926	0.6785238463997709	0.6730184153739974	0.6707352017793219	0.6916586313734965	0.5672764983163082	0.6185888765252693	0.6329367324495743	0.42993706187604847	0.43912025133625965	0.487905381452534	0.5151802566988564	0.5926078097079847	0.2530150490703648	0.7121051462942184	0.48603746765631767	0.46967328331133085	0.5909491026631958	0.6630146743177787	0.7538057734244427	0.5992704480475856	0.47245543938333845	0.47152619866691603	0.4772263346196492	0.5134854017872355	0.47998533619323863	0.4931976952995084	0.5174349592834062
STAGATE_starmap	0.5040917036765848	0.6559270509209923	0.6427459742724486	0.5699361466090248	0.5196733641630952	0.6731148378833219	0.6276951146037468	0.6108268300698134	0.6908964465040046	0.5672669014467598	0.4806701425989205	0.6440371140954204	0.6407676357876576	0.4114730426396619	0.4905750593422996	0.5199065454450551	0.5166868559525994	0.49504208846138315	0.28815199673128933	0.6971000584871914	0.5567413296240199	0.5950297156917667	0.6066051176250128	0.7226044784649468	0.6966280506698341	0.49720163116888283	0.5393487800505489						
STAGATE_default	0.6192074824295428	0.6895876988933849	0.5948398251175739	0.7135885224964482	0.524173974618947	0.659760628263252	0.5649742119448763	0.6036776790674293	0.5628092780397234	0.6926294529712107	0.5293956791313261	0.6384053288233905	0.6183925089107858	0.5089934173356585	0.6318151276352605	0.5616258937704528	0.6337279094311753	0.55832405087503	0.2846885442373296	0.665679868686742	0.5448812661663056	0.5152220954185096	0.6052203273410308	0.699887242944619	0.600738179728203	0.5310165989264742	0.49158587115362884	0.49164483477187704	0.5138571246759109	0.5162130678929068	0.5168359987927227	0.4946515481411312	0.5414774246768672
