	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
GraphST_default	0.6481298705141281	0.5567833001467916	0.6845304576943395	0.5938993678788721	0.6319009778344185	0.7046433654367066	0.552226295811615	0.5404974972038282	0.6166771823684376	0.6717713566065071	0.6801762957070976	0.5629545476800342	0.5541614050126448	0.5159782791633245	0.6022217456889805	0.5290576695863216	0.5754078468849876																
GraphST_2	0.5460916631469862	0.5905961798319544	0.7545040380861154	0.5377947728341034	0.47486210908840787	0.6715101823303196	0.5254640156415578	0.5179147251336533	0.4877390014708341	0.5803329472744589	0.6155102222814548	0.5295738947105518	0.5508411089038142	0.7393264920558684	0.6285713486208765	0.5575638959515948	0.5600394955742232																
GraphST_dlpfc	0.6805515301332486	0.5659686654343606	0.7180340277229048	0.6140618313051546	0.6597869136881724	0.7320916976020245	0.5514398128314683	0.5574227682282086	0.6578829925622286	0.7038872639869188	0.696289178382283	0.5864575897561863	0.5827263502229306	0.3525895342835792	0.6188279647127024	0.44098830435823927	0.518743492083917																
GraphST_1	0.5492856989408519	0.6060105867940886	0.7614401485934655	0.5830600007617347	0.487557350618921	0.7135786879333534	0.5735962833876007	0.5570920044162511	0.4860292608588811	0.5821249841670576	0.6409269755891892	0.5778921372913535	0.5997058884645105	0.4350530996382629	0.5767463842133603	0.4698390932418505	0.450565269859306																
SEDR_default	0.5942940772637286	0.6261530399953695	0.6624585960829028	0.6198526191680999	0.5190329376566514	0.6874821468748192	0.6346560844881451	0.5532211525361206	0.6028107426455672	0.6267019529668901	0.6013596407332652	0.5915475252691721	0.4797029364719358	0.4300604458672006	0.512357242819464	0.504887623484599	0.4915747708712213	0.7161774221568218	0.4805867555366362	0.59601348537693	0.5451174740647814	0.45505984978204334	0.5501420444052469	0.6585567215821663	0.7018808356807841	0.737842946247228	0.35539310392531703	0.3780294632043219	0.41989105583689335	0.3684054631484427	0.3658723233677421	0.3858982666653404	0.42880231731329965
SEDR_2	0.6576229594987107	0.6349264828748542	0.6659185985330865	0.6295815492600769	0.5825775419415679	0.7049189792141346	0.6249875347060205	0.6190196785729658	0.6050098776715402	0.652507948198105	0.6607349077679783	0.5941251591766005	0.4953986652708597	0.3528527214433582	0.48464573928543914	0.39403338726646525	0.6036635252653058	0.6902769238951527	0.4501279392274358	0.7334874520084743	0.5609419884595385	0.5028776912833902	0.7243927138455122	0.7029239619823281	0.7105668290876556	0.6524302721020891	0.3855131156899315	0.38929014435623926	0.38547822049407754	0.39583571520083377	0.40169090178210165	0.38693826658786146	0.46664793656668324
SEDR_dlpfc	0.6741213347049269	0.5894887092812909	0.6659476899470395	0.6100896418492376	0.5336096257697448	0.7195509869125445	0.6344885907944403	0.5579549707361037	0.5832034048988277	0.5608607623602493	0.5947805195546563	0.5803269976829328	0.44263751405212903	0.4240803396489428	0.5114093136839208	0.45360823132705214	0.43459418789508203	0.6920830608087611	0.490492349179477	0.5739095409893726	0.6863180859241721	0.5793864346728361	0.6255176244140299	0.5819953435166737	0.5518506676474496	0.7082061426181925	0.367655953832177	0.3211488457892478	0.43789307720044807	0.40074245681563114	0.4081466081269476	0.3954515120925916	0.43402528305864047
SEDR_1	0.6127472073606268	0.5945314958734749	0.6829551704814085	0.6594149169987423	0.5046545004370795	0.6999032491346285	0.6800839514002494	0.671786485932846	0.6162794725326275	0.6467459584585831	0.6768849071081677	0.588725415073196	0.4714625219267771	0.47119079682586434	0.5076952902368803	0.5017314159122689	0.5283748749182795	0.727823430766034	0.464593474457305	0.7236922663284483	0.49626906625016004	0.43957346388605933	0.6007994210997445	0.6862820888694582	0.6980445603951779	0.7401013907023356	0.3756222892452812	0.3679237458949907	0.4076493652127968	0.4421375787892903	0.3927333919897509	0.4205402244888116	0.47856916150554923
STAGATE_starmap	0.47246103559494695	0.5856677664807731	0.6548637139876661	0.49789130748327454	0.5998903347875322	0.7067456296298439	0.5775293018288511	0.634249649063069	0.6528489486801538	0.4864959073196469	0.5125876700828225	0.5954042048416559	0.4879871947022753	0.47318934178882294	0.5524178502208712	0.4946341222804623	0.49768755982383023	0.5495046181982318	0.4414381210550651	0.5844059440773807	0.566867319802465	0.5891572175490711	0.5882226819402848	0.6406854904367718	0.5800433128032766	0.5614587389823074	0.42199138009190507						
STAGATE_default	0.5526305841568171	0.6085855819396832	0.6331550221011061	0.6692209996598218	0.6621406804632406	0.7053333726790791	0.5292141433430575	0.6136377493675569	0.5201866021861684	0.6658650570297524	0.5708073004121873	0.5897265015400537	0.44961133289376426	0.6332342695780032	0.7277016421870359	0.5458228558860798	0.6640588679066705	0.648888000877426	0.45943071432334465	0.6538667509291863	0.6076746858671398	0.4569951303469285	0.6359561194485656	0.7348693064878019	0.5053992751320039	0.615192228760291	0.3559617838018333	0.34600146032059015	0.4090072014522138	0.38137289442950534	0.4066827228927697	0.3672838570435112	0.44742324777806025
STAGATE_slide_stereo	0.4931508379495312	0.47149006207874533	0.48083332695970893	0.4014191059132559	0.5238328797340931	0.5442837540861	0.45387435114038227	0.4796011828923825	0.4172785421939906	0.46075380549452305	0.47277918507903016	0.4776983067742887	0.5525476265224155	0.6633952621530841	0.5957190312569585	0.5916735719946401	0.6133595718085142	0.6876183917985842	0.451754737634244	0.4265926074421515	0.5583812934568103	0.6825098769085014	0.48133601062020026	0.4192937519766996	0.3684808505750312	0.7515655907399557	0.4482716349883834	0.4830587907945031	0.5633369475290457	0.4703060636850683	0.46332061816729	0.5443696845079511	0.5088636815200174
STAGATE_1	0.5350889050525423	0.5686769559740158	0.6466730044456173	0.5406342270436734	0.629755417684681	0.6573278508062309	0.5231414368224452	0.6363456622748795	0.5010093853860136	0.5700760090291436	0.5379378152563089	0.5006529488043289	0.5373617185508437	0.6258112132710596	0.5903652148309457	0.6001017109286554	0.5725695751939266	0.7150254730121699	0.5288189095006982	0.7414662465106922	0.6391912318280774	0.6971976663958686	0.7226955012790278	0.7133744758426355	0.6619801572233538	0.7419488168747138	0.46279872498946883	0.4758542601925441	0.43342236507502707	0.4262162899242191	0.4902053725479337	0.43577180986831054	0.49706676085603985
BayesSpace_default	0.582567271092927	0.6074199099329671	0.8090714784154408	0.4007493126871922	0.6026363031792855	0.6795250828421839	0.5254702474662689	0.5314050137352373	0.539364586291117	0.47735239728722373	0.6117067045634317	0.5359975541110772	0.547568567391385	0.46952943356467225	0.5974819600970279	0.5103405097038132	0.5454520726694971																
BayesSpace_melanoma	0.4139733762837878	0.599025515609101	0.7838127328327547	0.5069481751514595	0.49655705488914736	0.6673094497981056	0.5418212881023631	0.557451793322775	0.4719013895690604	0.6065126995329894	0.47590295714780545	0.5229827991978657	0.575757572139974	0.5599650033028006	0.6725603092568336	0.503604537150218	0.5086902605017731																
BayesSpace_1	0.41149130871298006	0.6008617632082601	0.7843045435094471	0.5076393151623313	0.4967555302396992	0.6671706827986092	0.5419556911014569	0.5209209041296713	0.47270647422951484	0.6059301333145636	0.47653738609114676	0.5254212075154122	0.576159167446539	0.5141830820765492	0.6700208102981786	0.5054338523896547	0.508626976420573																
BayesSpace_scc	0.6239645677829343	0.6073465541838813	0.8083281401214355	0.39996671238211207	0.6033552017362592	0.6793394519443826	0.5247554899762132	0.5287136724033308	0.5383185282963605	0.4781166167895705	0.611932389226931	0.5360773816300467	0.5465891670438818	0.4698162004731717	0.5960840788674764	0.5109746291201094	0.5532498889750117																
bass_starmap	0.6276933321554901	0.5841296605358106	0.7780422107967029	0.6091866370020022	0.5853054482643683	0.7125595004308026	0.5178224347961401	0.5393009961982196	0.441199294873814	0.6182632814081779	0.5521590496163938	0.59893279944892	0.6509501818957424	0.4731257231615064	0.5993194593453112	0.5108269379271351	0.5694312153480495	0.7792808096034087	0.5337040100418444	0.6779646703029006	0.8609551517537262	0.595146038653481	0.6404384982153144	0.7544925175627947	0.5252416390117743	0.794644961887356	0.5545661178206043	0.46613076046391627	0.5569477830920418	0.5156350715520477	0.5319698187045829	0.5703479394096953	0.4657003893294427
bass_default	0.5106907438710429	0.5574365201477969	0.775844312305487	0.5054519933645966	0.465483513926269	0.662064308072	0.526476425200736	0.5527833525541197	0.5096230192429311	0.591118491689293	0.5551432451449799	0.5995415163421829	0.6420002912869134	0.4514246079774752	0.5895466110210021	0.565140414569775	0.6074916147780507	0.7834210340395925	0.5598575584432105	0.6784010301009559	0.8649328203185592	0.5113791041812729	0.5875571116777777	0.6768313833673275	0.6451370198661169	0.7939904451610204	0.5058565387844314	0.45432725989546635	0.595342472873559	0.5321417272385276	0.5446232879279531	0.5703303125176233	0.4964426480530856
bass_dlpfc	0.4274848054163685	0.6176075238091389	0.5732707655521752	0.6109143568424559	0.5875984347079831	0.6643599236896705	0.6339878601631725	0.5735436937902402	0.6291223249819021	0.640399902776061	0.5955063970077149	0.5925515036906053	0.6205883679384724	0.4949542569871628	0.49573314738933966	0.5412707180429822	0.5541814478875395	0.765605669108342	0.524985634945672	0.7667707996943	0.6189258038899619	0.6041884296899629	0.7730544784688078	0.7693788535832861	0.577221205416458	0.7887706758895279	0.4157381720781679	0.44012434982538395	0.48932219159185364	0.47629392586465197	0.4463616844707676	0.45606417196808063	0.5034099684258977
