	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
GraphST_default	0.6751469140007772	0.6096288966689778	0.636220094788423	0.5943174968425752	0.54289963634175	0.689870049521218	0.5763580902435891	0.6155166803368216	0.6210178749360735	0.7119181168617083	0.5908693939643036	0.5851229702499507	0.6686143362046443	0.5125692284164521	0.5607013498876702	0.6109054419419335	0.6456173687143957																
GraphST_2	0.5773930544607371	0.5987527968483016	0.6195811210421477	0.5579994988987453	0.48934195633007105	0.672596967168163	0.5906074214164738	0.5660414394709079	0.5327086369906779	0.6184131541839185	0.5837221063805929	0.5440638072615902	0.6855736494795623	0.6610371705738123	0.7132472519830341	0.6387623897224476	0.6837011121343569																
GraphST_dlpfc	0.7151299054576965	0.6316273411195569	0.6868202124426669	0.6196314659381288	0.5907668163918396	0.7541399412919704	0.5916369896063679	0.6458651194372877	0.6605272630087908	0.7479910891008277	0.6413563765941246	0.6312962068527359	0.682493724253957	0.23352790099730464	0.4759949917643561	0.4254546821356574	0.5167229606396584																
GraphST_1	0.5695166967413642	0.6203878304691642	0.6366185537254357	0.5888546650459394	0.5403931723486288	0.7694097688022066	0.6373593127993461	0.6100808202211419	0.5177673673881122	0.5980809166565708	0.667910423174398	0.6145903829580983	0.7036231833318554	0.1608694555354494	0.5256961602807462	0.3907546253833089	0.502333344415731																
SEDR_default	0.6326409863738265	0.6785484651485426	0.664775089260181	0.6448172188424014	0.48304085770019917	0.7074104869876626	0.6261721875553362	0.6094113571310835	0.6295354805103587	0.6697614151867993	0.6342188493041948	0.6615037752753232	0.6445691105408589	0.3385323513934925	0.6117919983330998	0.5994249307829435	0.6054464463099056	0.7692749285789595	0.5583363724838533	0.623746375748536	0.6054391589910848	0.5413994899328565	0.5796972073252489	0.6161909932446414	0.6121848999572066	0.786621245579425	0.5727187421434876	0.5495854522053558	0.606000789585134	0.5936931075652144	0.5809278198628082	0.6019316498921824	0.538633610526989
SEDR_2	0.7006714072920873	0.712720966149303	0.6556336351392843	0.6939366880075152	0.5322062178281249	0.6915626654757699	0.6549782470975705	0.6598344216778913	0.6627273236631426	0.6989576499958573	0.656867742368084	0.6747809330568689	0.6644630975683234	0.3176957110457312	0.5505913080659951	0.4905031687826912	0.6485026071220346	0.7760027229380899	0.5636551680750385	0.6483664455248103	0.6809961502762252	0.5841793266079287	0.6905044477017571	0.6288846408757872	0.6108924587980339	0.8126670427520842	0.5947180453599297	0.5485241008130631	0.5884439588544329	0.6371772014134912	0.5930755617300222	0.6249006991379782	0.6250955915757843
SEDR_dlpfc	0.7196874668195518	0.6409380486056702	0.6681664088898451	0.6616914172314012	0.473931904995532	0.7095909250831164	0.6733828739712191	0.6292228438321423	0.6502324942660044	0.63132545435347	0.627389622636492	0.6434363539632533	0.6592908178184053	0.31984703225427497	0.57545884947321	0.5736369213922333	0.5591843309951643	0.7672934409415197	0.5992909478641937	0.6074188664645235	0.6770898252617191	0.6299664518255247	0.6079319221017548	0.5671892307223084	0.5550488029649314	0.7896474509945204	0.5759837053394784	0.5152587139852016	0.6140516740525764	0.6186831182533805	0.611461163541882	0.6320250673404334	0.5871281900178228
SEDR_1	0.6531727813121276	0.6332414813711581	0.6442171088576255	0.6909496394820298	0.5292173207924707	0.689904365832678	0.6633609212449086	0.6558178038496565	0.6618482743084421	0.6556558065355806	0.6545007040125154	0.6377261263968035	0.6480298062635963	0.4623234695361946	0.5617701237673686	0.5585840027007225	0.627019202569952	0.7828468111493183	0.4484240875112576	0.640811679823434	0.5813127223270466	0.5365348931807894	0.6234882814165665	0.6093966096712384	0.5995376566084368	0.7938695394190172	0.5826478953234556	0.5326888514086286	0.5852087030749874	0.643892495769034	0.5871407819161725	0.6148841138310317	0.6074448703256281
STAGATE_starmap	0.5104154254567752	0.6569336336012949	0.6600315102168145	0.5632782875604062	0.6770586818161615	0.7369962416028089	0.6658893906229584	0.6125837386161009	0.6857820307167196	0.5811696066113411	0.566472563193359	0.680388160640254	0.6842371514374647	0.4500457480905183	0.6422434183231025	0.5853454098220561	0.6370224213171343	0.6947610641966685	0.589296913278349	0.6380656890823632	0.6627871001806083	0.6607379417044965	0.6129789392167002	0.5843199617196345	0.6078484303865328	0.7316213546959126	0.6851131420261268						
STAGATE_default	0.6223311521970886	0.6744316722667394	0.5886204832910885	0.6841820621345344	0.626688329198734	0.7134293554787637	0.6215999114952951	0.6035240968083203	0.5582783923569385	0.7182443275510808	0.6526759127946522	0.6509581975217277	0.6507325394600741	0.5445902434320196	0.697343615170772	0.666539677295635	0.7437572539280184	0.7848611821887984	0.5605340729611803	0.5565294445297815	0.631892623457779	0.5296187398698871	0.6200249517212297	0.5977445499357584	0.5189238791083897	0.7197319008839539	0.6076641162497074	0.5753291333165146	0.6702250559179852	0.6544025867664687	0.648936433634727	0.6357307217350733	0.6140037890335126
STAGATE_slide_stereo	0.4714369231525203	0.4279620072569514	0.4220169347011543	0.37865191069548715	0.36810706912825786	0.4752760626311876	0.4337468211518994	0.4323313164763838	0.41020763574071206	0.47900314820457485	0.42432197569724023	0.4261917193299566	0.6703334656273133	0.622732200481192	0.7514955734382365	0.6930808889151134	0.7447751457001193	0.6264114994361749	0.33747981305202346	0.36249758454601105	0.4244977236506335	0.4781887815517522	0.4108625538917184	0.3705679619041085	0.33633094316420326	0.6321058597448544	0.6512158851541638	0.6442395505823669	0.6610614362553443	0.6431011314067095	0.6937258126669036	0.6943659804525895	0.6555302277439319
STAGATE_1	0.5510207589403577	0.5736516748426066	0.6096144512043623	0.561737389128531	0.49846892226588224	0.6456527084779266	0.5226853943255816	0.5967353053297078	0.5433655991177042	0.610501163520197	0.5188922541275441	0.5462573389780934	0.6629353546475065	0.5992684181614564	0.7545895734595571	0.6947183363737144	0.7047010563819875	0.7653013953291484	0.6222389878666258	0.6288358701906677	0.5777582163094176	0.6465237280475581	0.6066404797033836	0.6063355832900339	0.5683008232550234	0.7936510388324893	0.6732575100628955	0.6851635776089989	0.6164038008862647	0.6486310006840825	0.6853519729305112	0.6993494229496977	0.6695321848425946
BayesSpace_default	0.6113652518960504	0.6112932920683852	0.6676888270807896	0.47393536400196923	0.6301375095147072	0.7025418131893193	0.6086061608805736	0.5856929375005859	0.583097904174136	0.5700552279964525	0.6356744967777892	0.5450820502775569	0.6901180486782	0.4895389362611747	0.6939122440528033	0.6175062539944725	0.6443165560804461																
BayesSpace_melanoma	0.4238321718627192	0.6037535324548713	0.6507086446350363	0.5500900221410294	0.521588179098952	0.6955325616809588	0.5843464512007572	0.5721037509074975	0.5431789665841436	0.6590262212297721	0.508231090896335	0.5759120912157897	0.6708571709867525	0.5694151041464541	0.6561059903353401	0.626411078068474	0.6494931022768128																
