	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
GraphST_default	0.6707722339723455	0.6353645544791496	0.6464617166854241	0.6069874815004455	0.5049568937491072	0.666244922075018	0.5800597745413095	0.5887567983651808	0.6237384267206517	0.6989393280719669	0.5740028091522815	0.585607388018263	0.6586131647941719	0.4866884067461099	0.5289890017231624	0.5683489969979653	0.5963354437779999																
GraphST_2	0.5753152590049444	0.6263175448286554	0.6560614021497374	0.5583851053224468	0.42452692026571254	0.6401573080492232	0.5717195717168807	0.5322142637597961	0.5374211004401188	0.6209156745702873	0.5412329152239919	0.5255367115879912	0.6623567911771153	0.6313639166119774	0.6103095767940154	0.6030301390863545	0.6033040143936045																
GraphST_dlpfc	0.711223178359785	0.6607269754061752	0.7017668202017903	0.6380245155750958	0.5570499321841088	0.7287375309254388	0.608720202894037	0.6185112390866232	0.6672251862423622	0.7356683721831689	0.6266765908132755	0.6338244125570462	0.6842940296716825	0.24183313704310283	0.5175358633614023	0.4188508864324645	0.5183024033302583																
GraphST_1	0.5750469190514905	0.660026296260041	0.6758678210340606	0.6070492270224996	0.4746070204448151	0.7327333026570526	0.6219738192368701	0.586467482817212	0.5413448853948652	0.6182737998065359	0.6222318733617638	0.6006050537322647	0.6932034720972795	0.18759520549573575	0.4959649171993888	0.41063527668236705	0.46593861480863213																
SEDR_default	0.6469844520618732	0.6874144412140157	0.661545369275259	0.6584946146556603	0.440650574700192	0.678752368174153	0.6509626292967976	0.5876648232674881	0.644535412381914	0.6790224668995283	0.5839364365372874	0.6445043180552081	0.6407903761892852	0.3329499967661667	0.5254229452814015	0.5574797068248726	0.5431771453800567	0.6626793803289661	0.3865514166499015	0.647530721761782	0.5547219071108963	0.506805394739219	0.5511121650990042	0.6375274211852446	0.675494674137533	0.6743116258308964	0.5138981631381969	0.515480195292234	0.5383266354373277	0.5304060009348122	0.5177756401390419	0.530725431017316	0.494589051496814
SEDR_2	0.7066843774627479	0.7108069042748711	0.6556904899835966	0.7000657096279321	0.47389951107952644	0.6708218784831518	0.6497189871557768	0.6429774989082093	0.6724002735788037	0.7045743531954816	0.6107375052770727	0.6579251406800286	0.6532147847687475	0.3071927941725864	0.47997387502897104	0.45192954560253695	0.6029001439630642	0.6580499084611149	0.3822475191692051	0.68735376848949	0.6080986796769555	0.5465762817079362	0.6924347946515376	0.6526162650299405	0.6778780410760256	0.6806379661129522	0.5293378870231806	0.5120909844858715	0.5275035822804254	0.5628543188965867	0.5343408949555701	0.5470239169649047	0.5757674992672176
SEDR_dlpfc	0.721333318568145	0.6656497295364974	0.6659741607350701	0.6805563204883591	0.43842491909330905	0.689000545163173	0.6627961375330901	0.612031057177371	0.6652580093074364	0.6365155822789488	0.5870139264418042	0.6300762496769933	0.6457969851347489	0.31380512712090497	0.49722898485993083	0.5295131963047393	0.5002657815241925	0.6547853428896234	0.4107667446479602	0.6389854507769612	0.6332924367354903	0.6040136863831421	0.6060251751740967	0.5905973889645626	0.6049050078101126	0.6758991424386912	0.5186658019368617	0.485093411966191	0.5521703394739159	0.5492557964137532	0.5472943636946873	0.5577436063204478	0.5368410720588366
SEDR_1	0.653909586657792	0.6601573369714491	0.6516955687960179	0.6966606238408752	0.4616075608231439	0.6687904092612685	0.6708567154010283	0.6643067862476189	0.6662621048234159	0.6731761867025866	0.6077750784841586	0.6280117440945345	0.6403943517813517	0.4455425004939424	0.49293038294306274	0.5208579179835556	0.5656243506574411	0.6745713410783728	0.3235007475029644	0.6745799685516326	0.5294228007410419	0.5008826419396304	0.6067827707779767	0.6350759377500492	0.6678791752450017	0.6829788231749677	0.521797549748656	0.5002449408780738	0.5257300342089513	0.5713421650713244	0.5281830531897833	0.5473592749540738	0.5588387372064423
STAGATE_starmap	0.5072338557563598	0.656429956382922	0.651274068113231	0.56658765896501	0.5880169484846134	0.7036085495730927	0.6462283919939893	0.6117040228173014	0.6883297384804196	0.5741341025720317	0.5200560462721516	0.6617137800105701	0.6617893400413412	0.42989588918170346	0.5562561156406532	0.5506887519401088	0.5705789465792951	0.5781392786415296	0.3870472235856478	0.6662777711121803	0.6051535370459797	0.6261647324384412	0.6097753729056197	0.6461463390116738	0.6492171738044414	0.592051638254136	0.6035548034383889						
STAGATE_default	0.6207653877888754	0.6819254840108014	0.5917138122060066	0.6985759640464159	0.5708653611708657	0.6855462177337671	0.5919359156828378	0.6036008781683769	0.560534679391157	0.7052043670514864	0.5846072445470288	0.6446206576312055	0.6341504774855119	0.5261904856234185	0.6629640704835691	0.6096017520987593	0.6843481762179504	0.6524891188904118	0.3775990513733755	0.6062307716833095	0.5851701092056188	0.5223212334601296	0.6125331974794921	0.6447958308898744	0.5568419222439117	0.6111373888582887	0.5434961971863213	0.5302052442678005	0.5817162453150473	0.5771512889088587	0.575401683040681	0.5563873285832266	0.5754644670684156
STAGATE_slide_stereo	0.46766942464930905	0.4271888325175967	0.4165761218550891	0.38533808453913687	0.3388780179746196	0.45139801247078715	0.41296804723336766	0.4109351163226053	0.40800676959108456	0.4720179437386429	0.38595862716712825	0.4262643934985849	0.6504100907371231	0.598537756654864	0.6414768374230676	0.635444060170167	0.6634020631072459	0.5438694379949973	0.2430893190375658	0.4522433499327457	0.3965350519777595	0.518938127730918	0.398071409090409	0.43786182224750564	0.3995416616990397	0.6036444062300215	0.586466415662929	0.5935705675289318	0.6146391320121315	0.5804216270014498	0.6138108649718511	0.6272268852790449	0.6265908182673717
STAGATE_1	0.5442278757606474	0.586838771401565	0.6039764114699228	0.5634237954750893	0.47361721156093856	0.6183196266872533	0.5026156086051105	0.5951258451801009	0.5477558375670807	0.6000808285908061	0.4692905923787381	0.530892862296904	0.6474393556392334	0.5737545950166464	0.6407490765249113	0.6378911850024014	0.6266963666812092	0.6669572370299357	0.42907650477336295	0.7120711672228014	0.583299027175024	0.6543712441165157	0.655854131303251	0.6891107385767529	0.6447152060646258	0.6967236259715142	0.6002092881114754	0.6259263624694211	0.5407345378481245	0.5756888707642553	0.6170347451521733	0.611789480232926	0.6141976619411083
BayesSpace_default	0.6051292746428346	0.6441124954622093	0.6995564205050431	0.4840333547213048	0.5526083125594697	0.6668160305787686	0.5807446696905447	0.5651024080486197	0.5843406217470363	0.5624083868024782	0.5810346905521707	0.5446441244875654	0.6675693188943091	0.4911814214589226	0.6114172751719276	0.5710789482211337	0.5937000069747654																
BayesSpace_melanoma	0.43028967533250306	0.6315826009975162	0.6899074085112941	0.5462074277557313	0.45830228112119437	0.6607279451772228	0.5730150381526811	0.5635241066836767	0.5408958069617077	0.6465559907837661	0.4684084524382496	0.5705147807540683	0.6556048290366666	0.5410161877635503	0.6076019288634518	0.5758370402738079	0.5810613183642587																
BayesSpace_1	0.42663236539242777	0.6318370408124503	0.6907082641962862	0.5472091486908195	0.45868896839999573	0.6615688496230687	0.572651593765342	0.5512271090721651	0.5421692642969367	0.647145338659728	0.46855734842873736	0.5732093269404803	0.6571572172507643	0.4844107161361511	0.6040314753008262	0.578449276092576	0.5809477977181617																
