	label	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.19447666627278318	0.17067093422979807	0.21204064766597913	0.13852725622050968	0.1723686310435821	0.18208553609440656	0.13935398816964573	0.26020615335486763	0.26103071472560657	0.2901747374093896	0.25046609879234283	0.22924307634971203	0.13853928430261264	0.08971247925763251	0.08971247925763251	0.08947407465981032	0.16973925017046657	0.17129164514476583	0.16672031887243938	0.17448539706900096	0.08242286214365487	0.06793169851339549	0.08242286214365487	0.07555573162318255	0.04180893480046531	0.03545178027853949	0.08147885664933092	0.03545178027853949	0.11471757538953027	0.123942691864615	0.06870461715337661	0.11786315326410257	0.1125214594799442	0.123942691864615	0.1125214594799442	0.056290899034069655	0.23233821867639004	0.18408047390639226	0.17701706184338944	0.23079872620576164	0.18125314757957067	0.2811943084500917	0.35036795997363773	0.28470016619169486	0.05085627472815542	0.2659560255424251	0.17390732969995418	0.043150824380398994	0.21949448492234866	0.05378779477420095	0.16633333081212517	0.15764182585348532
SEDR_default	0.19447666627278318	0.0	0.6296168301770738	0.7961414222028935	0.46641582653856095	0.4466333141274436	0.6009988028375488	0.17877046908745256	0.4321164811037028	0.5123945029743113	0.5804188765829333	0.4907166433130738	0.469191766176025	0.20974210238199759	0.20974072608519503	0.20974072608519503	0.21446611774347807	0.4660689352662456	0.3681306446785226	0.3387538319072074	0.5097311092410933	0.1988351543524037	0.166641112388922	0.1988351543524037	0.16032241480449366	0.2136077971374174	0.20705518255905342	0.08691653973370014	0.20705518255905342	0.06184983576883212	0.0647017179123181	0.11276030658051124	0.06256345007210759	0.03862515930618108	0.0647017179123181	0.03862515930618108	0.0804914470873001	0.45044835612358836	0.47323027961801983	0.3565520310939215	0.4394078886028443	0.37946059011185546	0.4671838868392652	0.4548679359989352	0.47195974190544493	0.10085945100195956	0.07403189810132686	0.1508318177200242	0.1305400141268549	0.06956851194451523	0.08825851365986563	0.13729251903473325	0.12466212331679062
SEDR_2	0.17067093422979807	0.6296168301770738	0.0	0.7073892733743543	0.3100577890640481	0.5862544185777128	0.6215333904701859	0.1744753027042386	0.44544784577980595	0.5722819928389717	0.5687453640821919	0.49778352736249004	0.48322313365430364	0.2168832685656225	0.2167842475705367	0.2167842475705367	0.21964924677472097	0.5766658024101089	0.440542725094529	0.44652505169064993	0.615109071679537	0.21385515794969864	0.1826222211601216	0.21385515794969864	0.17254676604497687	0.15257663363735982	0.14997723512193611	0.1012672304116987	0.14997723512193611	0.0769693862250749	0.08004756967068956	0.1091823844792301	0.07813764453848143	0.06271538116388253	0.08004756967068956	0.06271538116388253	0.09029788506732243	0.49853574396039985	0.604438374931713	0.44497201848723295	0.4918517712561194	0.4749098056313982	0.5803640090240596	0.44986518407171283	0.5991731684749638	0.1260217706970636	0.09752641560024991	0.13593798228736054	0.12298215477504332	0.10492889511544412	0.08381731315470055	0.12583295939951286	0.14172046502546895
SEDR_dlpfc	0.21204064766597913	0.7961414222028935	0.7073892733743543	0.0	0.43025980060252705	0.4682529349570481	0.6257832011916478	0.1788599036980361	0.43084704676580204	0.5364292241455634	0.6609666599641668	0.5016731738081717	0.47687584461347937	0.20745570280907116	0.20733697458258948	0.20733697458258948	0.21213675817530148	0.4942487612519443	0.39496300911817367	0.3565439737516167	0.5193869761567396	0.20035996670342673	0.1673013796201899	0.20035996670342673	0.1565147214904042	0.2085651932209272	0.20212148431467514	0.08897333710777718	0.20212148431467514	0.062111857107081926	0.064550954007815	0.11462562941238769	0.06282959074286813	0.03992853818930103	0.064550954007815	0.03992853818930103	0.08419362629461298	0.4540104419121781	0.5389252765116455	0.36468318057394616	0.4484509630023942	0.39304312255392404	0.4800063117650204	0.4785278334384068	0.48840986292416694	0.10430992299357487	0.07770308172575356	0.15559957483130837	0.1309324713226062	0.07470023317856997	0.09239936097926263	0.14007841985765446	0.12778421120097574
SEDR_1	0.13852725622050968	0.46641582653856095	0.3100577890640481	0.43025980060252705	0.0	0.24764088255626193	0.3544222304050567	0.19116632306600365	0.23317391404270102	0.2867583780396467	0.30710559294475076	0.2334394598407858	0.23357240725331946	0.24964252294508973	0.18213816118465007	0.18213816118465007	0.21825545616587946	0.21612604956753034	0.20128399494859137	0.19874394233781056	0.22748317663753892	0.17604827453575062	0.11929030782307869	0.17604827453575062	0.12915548698296636	0.15890456101123349	0.1591947869701386	0.04232882516375443	0.1591947869701386	0.044080745325418134	0.029109379992762457	0.1138191632623752	0.04306811191742369	-0.04127783413426784	0.029109379992762457	-0.04127783413426784	0.049877176831610255	0.2226859545831061	0.22236672883143332	0.20138920743274974	0.22517103717075942	0.19378209922834871	0.2424786689175215	0.24131453027951694	0.24682204326814627	0.060500444491603494	0.030305088930606305	0.11986846297464498	0.19627870811710083	-0.0009986432093940533	0.04497493798637408	0.10582417194823493	0.15852450831868553
STAGATE_starmap	0.1723686310435821	0.4466333141274436	0.5862544185777128	0.4682529349570481	0.24764088255626193	0.0	0.4671524347046966	0.1381165705365905	0.4715308500819339	0.47237846080372053	0.4501906476257997	0.4921617608176418	0.4719666803940855	0.18169232341217018	0.15583120580821355	0.15583120580821355	0.1782310087250515	0.5914853629018174	0.5388145020853151	0.5696549500005476	0.6127389405583783	0.18150081884185104	0.14423556670118845	0.18150081884185104	0.13623370973419593	0.11404937213425657	0.11482235308270221	0.0667929083878155	0.11482235308270221	0.045365796771439766	0.04737698014451275	0.0830846045335369	0.0456251485810601	0.026944324136423378	0.04737698014451275	0.026944324136423378	0.08116442283553756	0.5229213201203348	0.5338146966525741	0.5929802440723752	0.5081631215162171	0.5933594186473673	0.6147432448913799	0.47983018909038994	0.6221368828705987	0.08452665870719601	0.05504981427044823	0.07345397497178888	0.08090735021684184	0.06570050525890536	0.03966611359680489	0.06572723982533679	0.10260629320273028
STAGATE_default	0.18208553609440656	0.6009988028375488	0.6215333904701859	0.6257832011916478	0.3544222304050567	0.4671524347046966	0.0	0.1848281469194352	0.4419495849877201	0.5450144252870541	0.5635252828531326	0.4728171077818365	0.46414417448304596	0.22033364044424672	0.21871202658753292	0.21871202658753292	0.2147552540572669	0.5025522557072395	0.3930812379122567	0.39045633688528675	0.5193487562973277	0.2034951042123865	0.17394749018326208	0.2034951042123865	0.16018023833135045	0.18433055364500936	0.1772308634766218	0.0924009343986858	0.1772308634766218	0.07168979943528773	0.07514894417012909	0.11595746007499858	0.07270111590289527	0.048624752839361594	0.07514894417012909	0.048624752839361594	0.09537403671891809	0.46479503014764906	0.49557429339502396	0.37621641189805916	0.4535117530078078	0.36319554764381706	0.47147496408518985	0.3944030834000704	0.4761335499574046	0.09623779778215238	0.08308145608328	0.12262537576763796	0.12269323072763852	0.0820663363836505	0.07137210646711822	0.11180939465489181	0.14259392861075165
STAGATE_slide_stereo	0.13935398816964573	0.17877046908745256	0.1744753027042386	0.1788599036980361	0.19116632306600365	0.1381165705365905	0.1848281469194352	0.0	0.19281449553057475	0.21582007680067009	0.18243390045654267	0.23210717778962708	0.2434192043922707	0.5143254111483543	0.30200059708054144	0.30200059708054144	0.4502469205575343	0.18153216805705819	0.16462689284839563	0.15472880935420963	0.20383235161941965	0.4380943612416517	0.3715533568063069	0.4380943612416517	0.3232103839714114	0.24781621050734598	0.25071982711640406	0.3864033308868214	0.25071982711640406	0.41490343758023424	0.40088755559466493	0.5477714423089415	0.41727078024958214	0.22426177650450546	0.40088755559466493	0.22426177650450546	0.3945387544726388	0.21661467921370137	0.1627630210449204	0.19441133317577694	0.20175547749626646	0.1456153860074907	0.18805242662087304	0.1695874146532657	0.18726638356507472	0.5006850496290092	0.32685793010775993	0.4519032845628456	0.5920818107191025	0.33437784436506024	0.3611443412362974	0.42902372729885263	0.5066960706690572
STAGATE_1	0.26020615335486763	0.4321164811037028	0.44544784577980595	0.43084704676580204	0.23317391404270102	0.4715308500819339	0.4419495849877201	0.19281449553057475	0.0	0.46089426865442124	0.44122396900029254	0.5113258120507154	0.48982054863857777	0.24106693981396587	0.18250106939129424	0.18250106939129424	0.22135262351096338	0.4479957718472068	0.40505871400854476	0.3999149394238018	0.4816211246679909	0.196796733124883	0.17764874900013153	0.196796733124883	0.15328212882448605	0.1272320420305422	0.12824250100479195	0.09593711005894594	0.12824250100479195	0.07422913742063346	0.08044151458625026	0.11663692714671499	0.07571307118758211	0.056776908648239977	0.08044151458625026	0.056776908648239977	0.09894246302661698	0.5081414472352475	0.42613362078921285	0.46692465825511437	0.49049906650006825	0.41835489521301106	0.5814559297720387	0.5118342166740556	0.5821580959584252	0.101135583107628	0.10928136210457563	0.13179880672650804	0.11418136231735677	0.1081656712877709	0.07973151181097199	0.12644034243275917	0.14687611801738212
bass_starmap	0.26103071472560657	0.5123945029743113	0.5722819928389717	0.5364292241455634	0.2867583780396467	0.47237846080372053	0.5450144252870541	0.21582007680067009	0.46089426865442124	0.0	0.6364679805351546	0.6630537024065811	0.6456367044264181	0.23413423440141504	0.2516309756683498	0.2516309756683498	0.21308453661907867	0.5399194473998945	0.46653140494521234	0.4616093257857408	0.5766209356621854	0.21713905597042588	0.19758943819736302	0.21713905597042588	0.18680235219323568	0.2172216129103285	0.20479463884158836	0.11803098471835102	0.20479463884158836	0.09529762526310326	0.10199837282753013	0.14876127541454065	0.09673945951611716	0.08036621407961804	0.10199837282753013	0.08036621407961804	0.12337197170219012	0.6089468453560798	0.4960335037925436	0.4477407523971977	0.6205611892672426	0.34735736390271155	0.4910850886000416	0.38292827938227825	0.4800702360687848	0.13028747654105152	0.12502019343258525	0.1722411739416446	0.13597869696627568	0.12373323676553263	0.11158717081967293	0.15263882884238053	0.17912814787362297
