	label	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.28147787516991424	0.3403272863278955	0.4321233689476304	0.26339427284824546	0.4459648085490573	0.25785910778061644	0.5325417913392619	0.5758852035170525	0.4505976502261013	0.35078114952973766	0.4612924602917661	0.4551116022221162	0.24570531427771164	0.27681656659854875	0.27681656659854875	0.24570531427771164	0.39183109798858645	0.3789966840388334	0.45216682091668364	0.5949492488573547	0.25465935612401636	0.3002075742051774	0.25465935612401636	0.2618426436543264	0.17691774629503373	0.19244029619938913	0.16160614102713466	0.19244029619938913	0.30321963434606164	0.21768283297908125	0.2848397536699531	0.3016392160991047	0.3071480764894935	0.21768283297908125	0.3071480764894935	0.28430404429348755	0.4180438861146299	0.3604007930908924	0.524116000160248	0.4051078069007346	0.6351393084150427	0.5421502927430212	0.5408248166322153	0.6419663199689252	0.24729275975578296	0.24526577172076652	0.2948604048669984	0.2473660471107293	0.2873860690262365	0.3322740371833628	0.2761056953572637	0.2401782873230298
SEDR_default	0.28147787516991424	0.0	0.7340108167615816	0.570476773509172	0.8257778171281718	0.3604593564840128	0.2620607884986524	0.23044525212873396	0.326594236896497	0.2975371378725863	0.3310467668372401	0.29614149198511425	0.2921687265074766	0.38437047145713005	0.39476924270642766	0.39476924270642766	0.38437047145713005	0.31420186412063417	0.29027955526283716	0.29111251037939206	0.30297778482599913	0.36739377131984985	0.41268442413140133	0.36739377131984985	0.3079614972146745	0.28745815989536383	0.2981334386810272	0.16800355066442543	0.2981334386810272	0.315620280465706	0.35634833673362887	0.3156001051379664	0.3133662078579003	0.3185081250975482	0.35634833673362887	0.3185081250975482	0.31403604031751636	0.319461019224494	0.3200732019774652	0.2938321277486286	0.31495989839090527	0.3077441178426153	0.2891123030552438	0.2893723738053477	0.3260911647033163	0.3650820836181834	0.36714567534112463	0.30592456610118424	0.36559081639575436	0.3172050569772688	0.3497299739289379	0.31931822445247143	0.3703581435157379
SEDR_2	0.3403272863278955	0.7340108167615816	0.0	0.6050226121541589	0.7312237815095244	0.37861027528471686	0.28155675935209995	0.23788852994424403	0.3362156978162671	0.3174909377384598	0.3412356648780499	0.31694720139332083	0.3142156849384575	0.33420750733520904	0.3500797470619616	0.3500797470619616	0.33420750733520904	0.33692108395354187	0.33731303700234466	0.3230792036418012	0.32171067513946716	0.33867390444043144	0.3786570361202578	0.33867390444043144	0.2794869299448482	0.2563220982982268	0.2651172803283659	0.1531184316079221	0.2651172803283659	0.31397295692260463	0.298984797812128	0.29710121049076077	0.312167105792089	0.3134007822685615	0.298984797812128	0.3134007822685615	0.2947970501972742	0.3615160880816472	0.35240697334706494	0.32903404487283294	0.3665420189856557	0.34206813915391665	0.33099861684851045	0.3319170626379468	0.36245978823793523	0.30834834863586336	0.31465315428654916	0.29465588811295174	0.30960548538416305	0.3101183369394161	0.3505606378052622	0.3116715449647376	0.3122640396246244
SEDR_dlpfc	0.4321233689476304	0.570476773509172	0.6050226121541589	0.0	0.5114233204382314	0.5103289202095854	0.3360581654989	0.29196517448587367	0.411645119977429	0.37410960280180394	0.388907176600388	0.4034930092222408	0.38980869164469356	0.24901097562087177	0.2668601419473047	0.2668601419473047	0.24901097562087177	0.4533594277211717	0.35714173637568963	0.45979663057984865	0.3883983500213425	0.27707287022508886	0.3063725157232478	0.27707287022508886	0.26436564191173006	0.2013141743078456	0.21046887942578635	0.11484171071255181	0.21046887942578635	0.26242021972059054	0.22889225209689024	0.25374453954664183	0.25993601690917395	0.26947255223698546	0.22889225209689024	0.26947255223698546	0.2533473950196115	0.449477903146745	0.379104334231149	0.3851380933492411	0.43896507835035137	0.43558538886843107	0.36605936394547406	0.3663029218595307	0.4548857088377318	0.2321889179717619	0.23759926129470607	0.24379701583302923	0.23380910459688714	0.2531132924392803	0.29057145596682266	0.2514805857812864	0.23312507709985553
SEDR_1	0.26339427284824546	0.8257778171281718	0.7312237815095244	0.5114233204382314	0.0	0.3194976076344285	0.26477351761639206	0.22318304051998314	0.31384936716403206	0.2841087664024755	0.3153482079695782	0.27935364895765064	0.2776471284830554	0.41016496206001807	0.41692292775120465	0.41692292775120465	0.41016496206001807	0.3078136927674996	0.3125370041916166	0.26987073770578984	0.2927015337140842	0.3855410622363895	0.4293795975372956	0.3855410622363895	0.3108698006746785	0.3010708345931565	0.31174895009730924	0.17124007516714662	0.31174895009730924	0.3190260716169929	0.37044527219722584	0.3177178472387084	0.31718215903425834	0.3151450761705654	0.37044527219722584	0.3151450761705654	0.31783151077691635	0.31296394443153175	0.3379049677872081	0.284372040063926	0.31445635817083634	0.2862900356098188	0.315874460489762	0.3159202979535661	0.30600773969405504	0.38352890176992727	0.38237425939502895	0.3128804610104385	0.38347052901148415	0.32412430974047013	0.34894224067645174	0.32516421453496447	0.38795664516333267
STAGATE_starmap	0.4459648085490573	0.3604593564840128	0.37861027528471686	0.5103289202095854	0.3194976076344285	0.0	0.40537603954284634	0.3086432635100752	0.5579289234094165	0.39077745444837825	0.47686928895995145	0.4478046734573937	0.42167580843041447	0.22757691342995584	0.23612592089024279	0.23612592089024279	0.22757691342995584	0.587105788775173	0.47600096749232645	0.6952417730138701	0.5526720049638453	0.23413246107827404	0.26030464520428165	0.23413246107827404	0.22481176694053207	0.16851132643891814	0.1728293687741436	0.10241005512026997	0.1728293687741436	0.21694925560335854	0.20251322940973113	0.21531601501150024	0.2157526989830759	0.2206325374991905	0.20251322940973113	0.2206325374991905	0.2175733647572218	0.5550834329336265	0.4925299120340202	0.5014478323469838	0.5499490390939468	0.6576298170979904	0.5287913374188294	0.5279466689253073	0.6529987694944118	0.20032910453179473	0.2059326977271737	0.21199205414033592	0.20134849997710552	0.21502054243107796	0.2323975211350808	0.21452516857134038	0.2030150799879645
STAGATE_default	0.25785910778061644	0.2620607884986524	0.28155675935209995	0.3360581654989	0.26477351761639206	0.40537603954284634	0.0	0.22977911428742037	0.44371736833412095	0.38023088799909444	0.47064469635619777	0.3842872384581863	0.3836505544350536	0.19256475925335742	0.2390563257255256	0.2390563257255256	0.19256475925335742	0.43697025183013216	0.4859966774875659	0.3562065468052691	0.4064294642904027	0.19524767563140247	0.22180445949442437	0.19524767563140247	0.2018367827062631	0.20790723340842931	0.19721547066295222	0.1023129190353998	0.19721547066295222	0.2254332886193211	0.16233548049067076	0.19073408595637423	0.22439285345987767	0.2191011640666193	0.16233548049067076	0.2191011640666193	0.18904021665290482	0.41908690920184655	0.4519151633621329	0.3599254385339021	0.3947487220039465	0.36826010058029296	0.45551200137249115	0.45459295426127216	0.4012870218533143	0.16075583261237897	0.16523557558486912	0.19505169637610772	0.16196252465533256	0.20393392718826434	0.2597433855892692	0.1992617734924716	0.15911710530279202
STAGATE_slide_stereo	0.5325417913392619	0.23044525212873396	0.23788852994424403	0.29196517448587367	0.22318304051998314	0.3086432635100752	0.22977911428742037	0.0	0.479835906091608	0.43721823279450844	0.32113664693985633	0.42876805287869413	0.43253828492616103	0.3884881333395914	0.3660391442350023	0.3660391442350023	0.3884881333395914	0.29770574283240453	0.2777130336031017	0.2844768689217939	0.45429263574173445	0.40483121842639547	0.3948969291428339	0.40483121842639547	0.33471100221816574	0.275321877790616	0.2923107273249841	0.1641275100944417	0.2923107273249841	0.36687703016981976	0.3393051146951442	0.4140667010706928	0.36500693513824567	0.3705317394880013	0.3393051146951442	0.3705317394880013	0.410502390288357	0.2578064650484718	0.2929233325950199	0.35228497360716576	0.24218747314359493	0.40371132437965	0.45036005190540934	0.45311889686380935	0.4375479295402228	0.36227061821765677	0.38344717602682105	0.44921905623436725	0.36304692825831136	0.41299350017249875	0.38112409391540825	0.4131606311059427	0.3688031182116906
STAGATE_1	0.5758852035170525	0.326594236896497	0.3362156978162671	0.411645119977429	0.31384936716403206	0.5579289234094165	0.44371736833412095	0.479835906091608	0.0	0.43322110380114487	0.5325060741674037	0.5009384658718647	0.4821824735073673	0.2289741274746846	0.26623157209783493	0.26623157209783493	0.2289741274746846	0.6052539092082476	0.5788613572821416	0.5815084497311086	0.8769013735649844	0.24885686169651702	0.2915756248686403	0.24885686169651702	0.2621390379885739	0.1766724212266875	0.187130889387452	0.12118381519876503	0.187130889387452	0.2761864176394346	0.1800441417655834	0.25576062262102056	0.27393735539534747	0.2794817159969058	0.1800441417655834	0.2794817159969058	0.25330876180262196	0.503085147555108	0.5816325537724858	0.5965164203242682	0.480330845518178	0.7689517471087632	0.8709818770383336	0.8687044300924743	0.821860905940281	0.20493254862058635	0.20923020930726244	0.2595631591884034	0.2055944319794877	0.2604251817919393	0.31007257366671825	0.2534899968028713	0.20048689632406475
bass_starmap	0.4505976502261013	0.2975371378725863	0.3174909377384598	0.37410960280180394	0.2841087664024755	0.39077745444837825	0.38023088799909444	0.43721823279450844	0.43322110380114487	0.0	0.6550804064358807	0.7653739372737458	0.7676017440952658	0.28496712452351647	0.3320216506585401	0.3320216506585401	0.28496712452351647	0.5027186210793236	0.5515243625344635	0.38764783650774404	0.4217922111002699	0.33269580328860265	0.3661138961376546	0.33269580328860265	0.2974366322647913	0.25023713308148804	0.2684561545121377	0.19673135682524798	0.2684561545121377	0.30719524300391693	0.24448328066664207	0.29540004541341713	0.3051396552872717	0.30719564828949847	0.24448328066664207	0.30719564828949847	0.2914298105359518	0.4695333611718105	0.5062048889769327	0.3502998194187228	0.45471450165583327	0.3864460475382222	0.409749624343965	0.4093315205540757	0.4147854791264113	0.26355590998185474	0.25776630354044605	0.3037410178385473	0.26531929398940013	0.29964770590689116	0.32226191375505947	0.2892469547517429	0.2568611820769985
