	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.36403668902487996	0.23072091413317558	0.2178861807959434	0.17809435193441395	0.15289915453143665	0.2147460930947689	0.2198844305132818	0.38168094542055625	0.41037064672856116	0.3185941962382213	0.38470163987852185	0.4049464168116791	0.35518198327008155	0.38644206830634253	0.3218395017185509	0.3608674644867789	0.3252392438424127	0.3311929805062879	0.30021707613683385	0.29435410861397693	0.38305204455457975	0.3943213586855465	0.1923080373815566	0.24700897918164683	0.24699531178567258	0.24580119436654813	0.25002893438775275	0.22863662061490572	0.23463759116103602	0.29109644725845046	0.3924869768079393	0.283855595505972	0.3257577933704826	0.4156965622829837	0.27940991002674104	0.3059889069059227	0.28815675255287543
spaGCN_4	0.36403668902487996	0.0	0.5309333861223667	0.4232764537483909	0.35095094118072373	0.33115361635799406	0.31229079245371316	0.33120989475450024	0.5219824681444006	0.49992072965917717	0.4703479310525563	0.4812223808348193	0.46881340143757283	0.38373805773236086	0.48133229516686493	0.4841318356636978	0.4578107201507111	0.4364628948585774	0.4571741943473538	0.4329762622437982	0.45213516987847896	0.4395764163293574	0.43016918664899206	0.3424705134712814	0.2945858548499263	0.2942149485092241	0.30817326506972775	0.2957475114689873	0.42242484872856834	0.42426654233987376	0.4485658407846509	0.41037391210909874	0.2393640037466093	0.2891362858124678	0.45910857340849376	0.39985541807606945	0.37518944927552583	0.39492479144381676
spaGCN_7	0.23072091413317558	0.5309333861223667	0.0	0.5041513625554787	0.5594140596032235	0.6639030549199346	0.5844674469219394	0.642789827138151	0.37053642983632123	0.34428977830683827	0.4902510348645216	0.4039989341550137	0.3250134880440612	0.27785910496958766	0.33559390290797314	0.39796448129243284	0.3718056936867712	0.3413854233034817	0.3865133517177983	0.3325839658002987	0.33507786767847486	0.2853878082587816	0.27878237651077414	0.5296935019705008	0.5710349756753225	0.5709450890403067	0.5912031030028443	0.5721675695665699	0.6106943214532196	0.6093557117069479	0.3365326808085735	0.26800917057248985	0.16906980682508582	0.19240152978434288	0.30545628717192075	0.30277630633743274	0.28736874947474655	0.28908464838264714
spaGCN_14	0.2178861807959434	0.4232764537483909	0.5041513625554787	0.0	0.5754321450767408	0.42941398992222085	0.4085740810251144	0.45958271097941455	0.3881586032598881	0.35906679850675766	0.3990534870585993	0.3575570993711345	0.29639159807836907	0.24621762923124124	0.31397204218846086	0.3111771433670911	0.2971071170195153	0.2895012166097933	0.3078772799984512	0.30421056879228736	0.30987533517099364	0.25087390568613965	0.24507291052504698	0.41906402273427157	0.3882976636531375	0.3883205638000477	0.40094241791946483	0.38842234674874765	0.35706263775130787	0.3581258248195623	0.3513470000701645	0.23727614789384846	0.15649512368594126	0.1773660158698641	0.2573271907796783	0.2926700596745419	0.250393170980509	0.2838521184815571
spaGCN_13	0.17809435193441395	0.35095094118072373	0.5594140596032235	0.5754321450767408	0.0	0.5341190714560671	0.5518057407018445	0.5810662126684238	0.3242070941955142	0.3202738276378691	0.35995717672918104	0.2894935017703901	0.24016427701726056	0.19799229280884023	0.2523354782287803	0.30945263174430854	0.2858195130892597	0.27216815265104205	0.2860243038094828	0.26846622804770126	0.27337191029849106	0.20759318523650194	0.19850914109020032	0.48228839196027495	0.4899292083184071	0.4894379297380621	0.5056962038059539	0.490033542474301	0.4642918426510061	0.4681776135878728	0.2914107819504539	0.19214726713900102	0.1241102960337691	0.141648431327825	0.20634864978088943	0.2503030093866789	0.21844831190949093	0.24253254385507153
scanpy_2	0.15289915453143665	0.33115361635799406	0.6639030549199346	0.42941398992222085	0.5341190714560671	0.0	0.8137234643961467	0.8662221827669744	0.2820012724902963	0.24658327915107006	0.3942730857613415	0.28800805780694405	0.2269955849288728	0.2032208585106499	0.2547410113406735	0.3677937071202636	0.33373215872241946	0.3087939030219924	0.342897064036185	0.2468726312540161	0.24677957802538622	0.2094182782573263	0.20056926081716173	0.5626865792241047	0.7194202154172155	0.7185572654759581	0.7302262360070637	0.7205386503115111	0.6738742336017715	0.6678754807543358	0.25249407157074616	0.19600797412694898	0.13011701159344144	0.14560682219045953	0.2052299806162622	0.2330581115103683	0.21820746718590545	0.21815198892940177
scanpy_3	0.2147460930947689	0.31229079245371316	0.5844674469219394	0.4085740810251144	0.5518057407018445	0.8137234643961467	0.0	0.9065739452427933	0.2670767032916695	0.2514557504202602	0.3700954286530346	0.26672762362778035	0.21384561643723488	0.19653256496968707	0.24234428095370142	0.37264405237586995	0.33540134389532983	0.3146981680364758	0.3466743398506587	0.21366344368776738	0.2123018492367851	0.2067435201230901	0.19284673534742822	0.49037823769267913	0.7759418657869036	0.7757105169837004	0.7677090280710781	0.7791686865751231	0.6882294085662469	0.6942944417016593	0.2188152271313252	0.18934684255268558	0.1303758528892681	0.15138090830780773	0.19445470814096874	0.20354278701947573	0.20034853915626716	0.19124053573976676
scanpy_1	0.2198844305132818	0.33120989475450024	0.642789827138151	0.45958271097941455	0.5810662126684238	0.8662221827669744	0.9065739452427933	0.0	0.28578380199180936	0.2701796074412575	0.4260079221866708	0.3163584974625797	0.21406304263326653	0.19604430949116294	0.24260719113879556	0.3591502576418006	0.3195279393467164	0.2995903617749737	0.334735374419292	0.23281259015813635	0.22987185200011423	0.20986693187892028	0.1957433488924032	0.5384510661603127	0.7708322876905773	0.7705836922758326	0.7841284430299023	0.7746900710692682	0.6684934859310918	0.6743092701206601	0.24287202922719467	0.19237908470553663	0.13343251611861512	0.14908157857826881	0.19462191538627455	0.22163378545661183	0.21089698001220783	0.20600818873641188
bass_5	0.38168094542055625	0.5219824681444006	0.37053642983632123	0.3881586032598881	0.3242070941955142	0.2820012724902963	0.2670767032916695	0.28578380199180936	0.0	0.7409926926005761	0.5291838981919789	0.6335943495112344	0.6082900416395878	0.4964538990070568	0.6224594798877324	0.4547050593989497	0.46074270630301095	0.45856122381746595	0.44072156409919183	0.5859466220381376	0.6024331975320798	0.5247322005470841	0.5154565562408956	0.38344475232247544	0.22836443826120098	0.2282927014247164	0.23889488032884731	0.2301626890023872	0.3345353217534532	0.34120134881318487	0.5537728554394977	0.5011390057178108	0.3034615562376345	0.36470841111437796	0.5367006427122968	0.5332394013354415	0.4411600522049653	0.5134498918215745
bass_2	0.41037064672856116	0.49992072965917717	0.34428977830683827	0.35906679850675766	0.3202738276378691	0.24658327915107006	0.2514557504202602	0.2701796074412575	0.7409926926005761	0.0	0.5357749861189318	0.6504001889744269	0.6022093253240878	0.5006053699692272	0.5930114417016447	0.42538008580638353	0.43986475476695186	0.43722198027946296	0.41720964788500114	0.5107993873623353	0.544480253079978	0.533572375417708	0.5347086561973068	0.3476870631081632	0.21728256041452426	0.21719118846915403	0.2280694323853755	0.21916293273937387	0.304857300058262	0.31110840196684436	0.5304077867635013	0.5056233335647337	0.3263656959720486	0.3892577105921057	0.5412952960041024	0.5192632313096892	0.4659448410309276	0.48478254718737646
