	label	spaGCN_8	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.34314730646854974	0.24870587563362173	0.34344639230175844	0.24799992192992865	0.29870459950503303	0.2716021363202876	0.2003694448579428	0.21856103567656868	0.21891543528092	0.3524376844024958	0.4158101997587512	0.2758940318449432	0.34852649945356834	0.32240070971095086	0.3951966383900413	0.32936852259157645	0.3224901791224272	0.3337332749937506	0.36493236177188193	0.37303276042954914	0.29602736916451855	0.27887535466165786	0.3708093401979961	0.3787536738748779	0.2367466102731598	0.1584604809650017	0.15131373113782565	0.1524015140047575	0.149954022918948	0.23868997750476212	0.20311099304427477	0.3327362737484324	0.37221585155018994	0.3815726380022636	0.3279600933083385	0.4444347856994815	0.2599361368006026	0.32519449646358484	0.3148810726381718
spaGCN_8	0.34314730646854974	0.0	0.6086205901286929	0.9921512765594671	0.6122206563872555	0.5459834859889663	0.582676952269364	0.3576578907304234	0.38545069579209207	0.3808002422943865	0.5256697891551342	0.5450340359365821	0.4860859390303753	0.4800884216134207	0.3843453950700352	0.4294492436914377	0.44001491929818565	0.5315987237247906	0.5016151622626639	0.5755499119482658	0.5560904860328515	0.45020115937870625	0.4420094137678439	0.4650128075182231	0.472883005777987	0.4487112264187869	0.3046944058405111	0.2984336281588199	0.29657650342812797	0.28482945184106945	0.489660346602816	0.46046825950910547	0.4905524971939922	0.4197619363866885	0.382014220376174	0.3461125831646513	0.4997684206181576	0.3509258724640839	0.3676706977181078	0.4877722672889149
spaGCN_1	0.24870587563362173	0.6086205901286929	0.0	0.6086896365742276	0.9448354692585922	0.4272497689694138	0.7606668165998515	0.6002025272141464	0.6275443915666741	0.6278114898193533	0.39131951326736186	0.4317100856477257	0.47214890075385796	0.37609476582819623	0.30031982978926963	0.3341411000922361	0.33749359053667133	0.44405408475050845	0.4323195413694332	0.490408964239403	0.4355098201532628	0.34522301247433895	0.3475873852694795	0.35521930201228347	0.36363752070362165	0.4863700532492646	0.5290964274052704	0.5305608843447909	0.5266050789533768	0.5152692752950133	0.6499754699152824	0.6141143245261456	0.3687457973994549	0.3281449970850148	0.29328660807437146	0.27136139521797836	0.3843357122605173	0.2789439681050824	0.2912948556037872	0.36170787378574193
spaGCN_4	0.34344639230175844	0.9921512765594671	0.6086896365742276	0.0	0.6122411086633258	0.5459905155072742	0.5819741663581712	0.3581086307472635	0.385841058057322	0.3812357245613351	0.5252159765129921	0.5445767072862288	0.4854927990247494	0.4795330467835562	0.38418089409470463	0.4293807169873254	0.4399575333000976	0.5309852149939961	0.5015218077689853	0.5745489805007352	0.5555208458177306	0.44983924741973064	0.4419999356304743	0.4654270898682333	0.47288856578720984	0.44867020862664503	0.3051692522310148	0.2988986354868915	0.2970152729947709	0.285366570417012	0.48998571621003645	0.4604187715348787	0.49054921194542817	0.4196665740837392	0.3820251610315552	0.34648249186526203	0.4990689255098015	0.3506433687717027	0.3677903231686729	0.4877697377022193
spaGCN_7	0.24799992192992865	0.6122206563872555	0.9448354692585922	0.6122411086633258	0.0	0.42912286871182126	0.7632776092486769	0.6075089775563193	0.6382344662862264	0.6354397318427212	0.39436004621474974	0.428444978631127	0.47049365739710386	0.37381141428756964	0.30280421643970085	0.33236584241638273	0.3383954663251288	0.44693738035302777	0.44576549804864524	0.4908972733343918	0.43506870130673225	0.34434204127821566	0.35266956956037865	0.3578870202767456	0.3647361107121492	0.4982857635837437	0.5388338920415637	0.5395236493553065	0.5356059908064372	0.5242795805385652	0.6569752568250048	0.6268797084827155	0.36791681608565946	0.32844324827660293	0.29383086655792573	0.27256661995313475	0.3830986340019601	0.2785584163198497	0.29294092893696044	0.3603093883652804
spaGCN_14	0.29870459950503303	0.5459834859889663	0.4272497689694138	0.5459905155072742	0.42912286871182126	0.0	0.43914519043801903	0.25576159034869667	0.27793948999144996	0.27642099653535385	0.5239665807400533	0.5125093968521207	0.5049606359751582	0.4968280641152374	0.4017884194765767	0.40262407407825007	0.4536099524170574	0.520601184844344	0.5158068706275614	0.49108359446303324	0.4713648896181702	0.4610947447141469	0.4510195016628177	0.4713402808636429	0.4210610191851643	0.3696096526304537	0.24583401703450555	0.23116732024151995	0.2303093273740484	0.21670206039137616	0.35878270692446723	0.3384512558035773	0.5022798779148662	0.385907580480515	0.3441024380882223	0.3048116073627071	0.4031892917948811	0.3512334831370526	0.37641847748900287	0.4931787739909434
spaGCN_13	0.2716021363202876	0.582676952269364	0.7606668165998515	0.5819741663581712	0.7632776092486769	0.43914519043801903	0.0	0.5080879898399623	0.5395695898194737	0.5368448553857064	0.41293084905307437	0.44790766654865644	0.4508061563334098	0.39342306746457784	0.32123509164130226	0.35569457236883983	0.3542041900036057	0.4595576298968486	0.45129778723610525	0.49347664987919776	0.4387754360325976	0.34945881558461833	0.3599059506434928	0.37607086256885924	0.3851408066968688	0.479990953986635	0.4311727549516038	0.4291564247870558	0.4272888052793812	0.40916886950499043	0.5935723493474484	0.5507859949822645	0.3785871499453341	0.3401165312316942	0.31104233100175843	0.28129643593670706	0.40278424504109095	0.29197902187850616	0.3072543979874552	0.3700605540110618
scanpy_2	0.2003694448579428	0.3576578907304234	0.6002025272141464	0.3581086307472635	0.6075089775563193	0.25576159034869667	0.5080879898399623	0.0	0.9155487987816968	0.9185051023395522	0.24687063224173744	0.24246822871615212	0.33618829265351113	0.231001105123612	0.19076056537222033	0.1977584869694582	0.20713759765625883	0.32458250164939156	0.3281869308421806	0.3388183123385769	0.2932644233086856	0.21422516046369922	0.23426235082320826	0.2252368914201447	0.22327891540187778	0.434155441504147	0.7184275526140731	0.7320105115878501	0.7293288237250171	0.7069513807419003	0.7160864706727864	0.7397304108065732	0.23269694474800068	0.193664585094583	0.18386767990202582	0.17459025298604675	0.2210907506949427	0.17715621925742803	0.1964430863476035	0.2212506877625095
scanpy_3	0.21856103567656868	0.38545069579209207	0.6275443915666741	0.385841058057322	0.6382344662862264	0.27793948999144996	0.5395695898194737	0.9155487987816968	0.0	0.9452171484468214	0.27526991711904614	0.2647149685831286	0.3612613739212081	0.2549509676652412	0.2147706925035473	0.21894157202153244	0.22820952890315688	0.3512208976293511	0.35556288920681367	0.36767489059482517	0.32000220525484674	0.2316130588123534	0.25966907786303084	0.25295537679879304	0.2530656819413453	0.45617601474465075	0.6951642348297679	0.7076834504915034	0.7065776864624854	0.6840360676113983	0.7413425477450515	0.7720625101792498	0.25559354724339167	0.21383026039655068	0.2062902806221183	0.19809701318658968	0.24743756791130425	0.1955055077645317	0.21972068407083056	0.23945959088430774
scanpy_1	0.21891543528092	0.3808002422943865	0.6278114898193533	0.3812357245613351	0.6354397318427212	0.27642099653535385	0.5368448553857064	0.9185051023395522	0.9452171484468214	0.0	0.2658454677212475	0.27053152084813487	0.3756877439147316	0.25320377862062665	0.21615522331744144	0.21518401122872577	0.22575961501927438	0.3482173484998456	0.3497227554193486	0.36231257008443046	0.3146483480379676	0.23060280591562918	0.2532639460827419	0.24532993919654394	0.24375433724102344	0.46243719511776	0.7007494993658059	0.7127252227109371	0.7105099222829099	0.6887216930728479	0.7645954770795429	0.7881913074745811	0.25173801697949433	0.21720302331526384	0.21308875117723014	0.20211840585673232	0.23858537775795424	0.19239644802091424	0.22074546533894682	0.23676462748866522
