	label	GraphST_default	GraphST_2	GraphST_dlpfc	GraphST_1	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	BayesSpace_default	BayesSpace_melanoma	BayesSpace_1	BayesSpace_scc	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	stardust_default	stardust_tutorial	stardust_2	stardust_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.5410896187387867	0.3844068619008364	0.5894277438566806	0.37233225485376015	0.5198228677465517	0.5247536653520173	0.496286564960226	0.5396239289373975	0.5844159525186103	0.42526287025180304	0.3051661022382304	0.4000739253908917	0.4483058669021183	0.370094672088227	0.37100842978935933	0.4470431822972338	0.3297529593513214	0.41273110889717396	0.5568630302713672	0.5365311606288289	0.3534255672478102	0.329097667718842	0.31690360592054256	0.3474926928719785	0.22605374876022746	0.2583058721393494	0.28485632631320484	0.29176092750890303	0.3353113734259713	0.2989532223321223	0.2731628344249409	0.3185981811004581	0.4001917897976729	0.2689003154457475	0.38456664554788056	0.3844875262019403	0.3688857182902259	0.5001768580295722	0.3661132953930498	0.36412111959185306	0.3103935166360735	0.28945101067245127	0.2933908389559561	0.3058333605788963	0.33900508935123236	0.28945101067245127	0.33900508935123236	0.2887611367272218	0.41423176583003307	0.4194038891051053	0.4999721045808219	0.34616773536151124	0.3174899888564225	0.32865641647225796	0.35052189757223806	0.4051390101747687	0.21294680191138377	0.18886786890165932	0.21927366274697072	0.22495242816418187	0.22676190060752843	0.2002565907884179	0.23314952688425128	0.21387781805358685
GraphST_default	0.5410896187387867	0.0	0.4160007728916729	0.7363705768541888	0.4006867547523775	0.5955371563112474	0.571087208780866	0.5494873812120865	0.5868401002637572	0.6001773958050215	0.5435490044488503	0.3342839901204208	0.38589929418073626	0.5789016921090817	0.5008262592772168	0.5015439367868048	0.5794852090903936	0.4083276703169824	0.4392530967875073	0.6307344161277413	0.639882982322728	0.4527853130271212	0.3468428020982537	0.3368715667425588	0.43749331281801174	0.2693847564807736	0.3130137457998357	0.33103122492427106	0.3193964528052515	0.3668054410949564	0.3076694716385463	0.30886050552303984	0.36983117804527815	0.4935123119938579	0.35592601240663035	0.48896345833709387	0.46445241154601935	0.4899482072642467	0.5743369015158855	0.3911014059057981	0.4886516806854551	0.33977996284452217	0.3061467150517803	0.3331951905728698	0.3443213230547128	0.33474187344568995	0.3061467150517803	0.33474187344568995	0.32329262524557023	0.5275365257824414	0.5287960297588097	0.5058242480871028	0.45544870439554297	0.31755117279831113	0.3145107679811615	0.36835104543806596	0.39917624882066977	0.24226442933875092	0.208737864333716	0.24657574308947275	0.24725700482892368	0.2568448969800967	0.22514490130754364	0.2674242325965903	0.24268125604047636
GraphST_2	0.3844068619008364	0.4160007728916729	0.0	0.3988262149714574	0.594209284612058	0.3873018059435478	0.41240185093123133	0.3765315891229744	0.4063063863186775	0.39919968489943575	0.3862074381095741	0.4812957794447191	0.5197374288157974	0.4122708861169112	0.40264398775865484	0.4021585510847927	0.41214801463918976	0.4958506419159022	0.5627496347215274	0.4159228563084286	0.42563158658439865	0.35945424373243884	0.5411569834993305	0.5108877927152358	0.3520542056757922	0.3099031466572329	0.35585405788158236	0.3342461452307012	0.4179985233340757	0.47522622472589554	0.3787916797586109	0.3340818143929982	0.42272995259886714	0.3855710447427818	0.34005065094456116	0.3908420773599251	0.3548438761130097	0.36410903862257177	0.47491067952721394	0.491308178272089	0.3604298940718872	0.3567882186031498	0.31034133978705364	0.3525013127109513	0.34855725354034445	0.3315853756292594	0.31034133978705364	0.3315853756292594	0.340183867256473	0.37834467637048613	0.37669538660319996	0.3953185784355424	0.371878264100376	0.3585399803107437	0.3547171900262395	0.3992744713296116	0.4657257906917496	0.265177933084539	0.24689327363852676	0.2815418186764448	0.30321047827128733	0.2874077617638005	0.25705182119820175	0.2677202355144376	0.2731032079804437
GraphST_dlpfc	0.5894277438566806	0.7363705768541888	0.3988262149714574	0.0	0.4491912676386727	0.6414345761985877	0.6404555572092313	0.6165403181771093	0.6384973040675727	0.6571589487960695	0.5522024093472878	0.32661653230997484	0.41877387876137434	0.6056581147860498	0.5118829446019704	0.5119609711382107	0.6062962561662634	0.42869113064337283	0.4566014511043065	0.6960475361099422	0.6971375293031898	0.4570970546996336	0.34858265766142416	0.33047342556424514	0.4319376040586829	0.27002227129935635	0.3387909978999381	0.3600146993699891	0.3295081748528623	0.3845148021115496	0.3144552296822296	0.31828376743585635	0.380637220650926	0.4987515301970652	0.3686939157823571	0.5028177514438461	0.48986283044718626	0.5175582651646227	0.5986982986406455	0.4012507508647966	0.5117959465369756	0.32748206951490716	0.2916381203150239	0.3162950729717336	0.3286785396417359	0.32694912612916793	0.2916381203150239	0.32694912612916793	0.30858787906994173	0.5774644727691758	0.5850442182005856	0.5364217681182223	0.497629009939759	0.35285931904954304	0.34926585816882333	0.40856902392647426	0.4310880668277765	0.24163113236794198	0.20966010252996187	0.24512614700251537	0.24812421342862007	0.2580303540681465	0.22502644443264677	0.2623119319289218	0.2380136041144589
GraphST_1	0.37233225485376015	0.4006867547523775	0.594209284612058	0.4491912676386727	0.0	0.37172067782296	0.41575454086471414	0.4071354911533043	0.3988017157591661	0.43161730009389726	0.3817190837874425	0.4024025994733246	0.4924034929424759	0.439643828929808	0.4449854264207949	0.44526492253750666	0.43917074104423603	0.5272400137369658	0.5973929495859689	0.4400440149109146	0.4464327616328589	0.40499051261627694	0.5215454099036799	0.4685555444328935	0.38971419567832505	0.33335227713397575	0.4155276982380743	0.38379092679025395	0.4737590157783449	0.5348364017292576	0.46043108646903647	0.4050409986943347	0.46755236606215433	0.38321975497788485	0.36540747023710907	0.41221351721171673	0.3477537075681603	0.39312806941561385	0.48699125241151553	0.4812366420652538	0.3880598521145765	0.35575544559640093	0.3013523702070366	0.3481313380319242	0.3528419265334445	0.3204324412176035	0.3013523702070366	0.3204324412176035	0.34736932841791657	0.4346233221357671	0.42700107857090625	0.4190970754219472	0.43410570761036693	0.41280345342320507	0.40599145116105617	0.4814000072568742	0.5937974828762853	0.286664434168957	0.2790367682178935	0.3051891917711473	0.31155734461468243	0.31792247378620375	0.27686783986779695	0.2806852864686808	0.2906395210146593
SEDR_default	0.5198228677465517	0.5955371563112474	0.3873018059435478	0.6414345761985877	0.37172067782296	0.0	0.6996795867245734	0.7021205740978202	0.7797536954928136	0.5965251644103813	0.4726005801111579	0.27347491298734206	0.3942246905560125	0.48110104712451146	0.40239192023124437	0.4027634293768102	0.4804999849434875	0.41580098339769833	0.3933879635812829	0.6398941857064969	0.6340962861304491	0.3646563485192424	0.3652456393082229	0.3425733845949247	0.34741943866905206	0.21865212748509227	0.2473860630327108	0.23746426524173606	0.2716467415640163	0.35359794771475983	0.2490486905780879	0.24008747887400786	0.32216832785501237	0.3971395873496066	0.33330071744642975	0.4268029537792019	0.5036227987865778	0.41257186235878374	0.49925387562659224	0.3678714977634433	0.408136737736743	0.2631023553674349	0.2307853153005262	0.24458067469051503	0.2555976078026933	0.2844592402284393	0.2307853153005262	0.2844592402284393	0.23668694121302045	0.42315152770118586	0.42829958826987446	0.41334714357945107	0.3503914729432232	0.25623685368531185	0.25622571306433967	0.27814020301265985	0.31675002350008913	0.1687877581797617	0.14972864041056264	0.1688744980017588	0.17497879090381638	0.17716810589356274	0.15985759937493002	0.1858939068659425	0.1699011027225072
SEDR_2	0.5247536653520173	0.571087208780866	0.41240185093123133	0.6404555572092313	0.41575454086471414	0.6996795867245734	0.0	0.7861311139299615	0.750422127256001	0.6561075900716316	0.526980725305903	0.3353842328574662	0.3994615633369924	0.5223927885598241	0.4710117908710267	0.47037835582488946	0.522166376019221	0.42679897514515486	0.433211331521127	0.6326275568223428	0.6291362769434635	0.43235792943882756	0.3934497304451549	0.37187868050652634	0.41248396002012544	0.24844950974385396	0.25449989591261674	0.2914929714189805	0.31357346928994406	0.35368979962021413	0.3393001811430309	0.30290734926489793	0.3258239868912559	0.4457439499804237	0.33975055420413497	0.4860317981339067	0.5527702799566655	0.4276359809393206	0.501434001774653	0.3906698606454169	0.4257274143026632	0.33381334278087776	0.30529042569089515	0.3224436064699514	0.3260507192946693	0.35826727906739714	0.30529042569089515	0.35826727906739714	0.31611650391280344	0.4704952796386007	0.4498982310213382	0.4586086338830296	0.41496542821126536	0.3309769966678891	0.3337649491863326	0.348804790169044	0.41020406440614704	0.22908226013259517	0.21107516069124724	0.23594666378830406	0.24581540674904792	0.24440276924140228	0.22626999899015215	0.2559180458197239	0.23110136063685957
SEDR_dlpfc	0.496286564960226	0.5494873812120865	0.3765315891229744	0.6165403181771093	0.4071354911533043	0.7021205740978202	0.7861311139299615	0.0	0.7797151224707927	0.6537720778206509	0.47484693268732125	0.26725436328102414	0.4030386870125665	0.47971782772619953	0.41891486585557125	0.4183194408015268	0.4790222832016191	0.41782652739912757	0.38270608126051325	0.6637408195170578	0.6465611635406333	0.3935551298391758	0.3944385252061195	0.36647632699222693	0.373545034191298	0.26098906466372684	0.245480907188851	0.26118252396108116	0.33033266943014206	0.3661838932273007	0.2992042152375602	0.2531368215736649	0.34554498624032487	0.3909781744289436	0.3659802153890484	0.44640636334838135	0.5452942896999579	0.4021351436866437	0.4556199711788754	0.3898361613323021	0.3972870945178192	0.29266798813216766	0.2549004690186084	0.272245321392642	0.28138028064558646	0.31407747994910135	0.2549004690186084	0.31407747994910135	0.26864687296959366	0.4421450269422072	0.4268868823639237	0.40271818413745775	0.37924632708263845	0.3011071251989319	0.3055390043659858	0.3035584377231104	0.37549909678054844	0.18309515197183326	0.1732848193030011	0.1854720836195302	0.1917022217778773	0.20202589698452683	0.18591465154542655	0.2139320586638241	0.18046868327345922
SEDR_1	0.5396239289373975	0.5868401002637572	0.4063063863186775	0.6384973040675727	0.3988017157591661	0.7797536954928136	0.750422127256001	0.7797151224707927	0.0	0.6423916435383512	0.4748171429835766	0.2981224616570496	0.41347854143816537	0.5159974221250488	0.4191396678619906	0.4198201040381386	0.5151200093272894	0.45943460423838917	0.41423059640954574	0.7046648882787652	0.6911295720751897	0.3794165064955634	0.4100935436091296	0.3831032856434455	0.36336786500786156	0.2452487367999426	0.2421579751739894	0.24053601733616065	0.30435223945567297	0.35937370681822367	0.2737604940052635	0.23768669394839514	0.31340960888172564	0.4081465439192452	0.34660216742083655	0.4504610998799965	0.5195620597226335	0.4070680176959427	0.5304874634403509	0.408078324172303	0.4042460751803588	0.287708157598965	0.2549050614987692	0.2645048760767049	0.2798537801590147	0.3182551729532535	0.2549050614987692	0.3182551729532535	0.25889662862311547	0.4104815480001259	0.40332174838558477	0.4034355586941517	0.35738176662164767	0.2780524299525109	0.27993008790244683	0.29132877344313163	0.3499107699720858	0.17663603934827563	0.16974664946210452	0.18376769737406898	0.19451698332240297	0.1890933276636856	0.17712193096963738	0.19980757094793172	0.1790658652632151
STAGATE_starmap	0.5844159525186103	0.6001773958050215	0.39919968489943575	0.6571589487960695	0.43161730009389726	0.5965251644103813	0.6561075900716316	0.6537720778206509	0.6423916435383512	0.0	0.6163248098032935	0.3331780837334073	0.36075622611329855	0.5471280219740654	0.5169393155333737	0.5162083185761485	0.5465717050568808	0.40443053469730667	0.4484236933336732	0.6431063147964708	0.6302444899447693	0.5065454242374695	0.37315665132245046	0.35439857283034937	0.47912989893563374	0.24213068105762925	0.30985203558391666	0.3298671101253693	0.31012627208196547	0.36679889170285784	0.36985850431823497	0.35536162950992983	0.3473109467456957	0.5080714595145637	0.3686644021498543	0.5340435778276332	0.45009416750497305	0.4854310413997364	0.5830719324205531	0.40265225224709633	0.47954061601434034	0.3347415528704974	0.3174720476321063	0.3173128246888951	0.3334152754169948	0.35598247968833174	0.3174720476321063	0.35598247968833174	0.3134763187431678	0.5804958675652026	0.5668849922574623	0.5665990377882865	0.49889309405301524	0.4072337902314986	0.406855867754437	0.4009690440642022	0.45327477476538497	0.2497040193926106	0.21153092970845758	0.24903460394492566	0.2553046116762149	0.2584867168958033	0.2372552978430413	0.26338944870317876	0.24271920171755879
STAGATE_default	0.42526287025180304	0.5435490044488503	0.3862074381095741	0.5522024093472878	0.3817190837874425	0.4726005801111579	0.526980725305903	0.47484693268732125	0.4748171429835766	0.6163248098032935	0.0	0.36021764483113466	0.3570778050140343	0.5730846938380652	0.7136616680470671	0.7118372694605143	0.5726863110885356	0.4452606164924237	0.45044267466118487	0.5130661157000447	0.5092871358822659	0.6513090419049068	0.4126348636418437	0.3933017892800777	0.6072593167958068	0.27680495558323004	0.37302996458510235	0.3685376657760267	0.3230202633373322	0.36420882373285884	0.4247554254530791	0.4323268699684778	0.33751689092192944	0.719477349990769	0.5485120041565922	0.7093711825142672	0.37795509846482994	0.6885432865799378	0.5138317834875819	0.34253573931325887	0.6868061442547642	0.3397108996782192	0.31625666295910626	0.3229446391925732	0.3380527519341874	0.40627058153050016	0.31625666295910626	0.40627058153050016	0.3192844246545191	0.68153366591505	0.6681390646090123	0.6092633602369324	0.6095432941326017	0.3392789131282236	0.33241531078110714	0.355278109416319	0.40756907713098894	0.288955283906583	0.28407307523060865	0.2895206187504674	0.30983405172297956	0.2865988362719224	0.2871939738539803	0.29940194548154003	0.2860034781337081
