	label	spaGCN_15	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	CellCharter_2	CellCharter_3	CellCharter_1	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	STAGATE_12	STAGATE_11	STAGATE_10	STAGATE_13
label	0.0	0.10066260812463941	0.12947254037661945	0.0479801405700668	0.0758563069305073	0.08358415938519999	0.1006580223896055	0.10700138950924674	-0.007897771756741355	0.10214114476077622	0.06299745335144759	0.06127179326134523	0.06314980016231102	0.08125843396076518	0.0440658819495244	0.05360216664815064	0.04181496455932725	0.0809841006608541	0.05549771779092296	0.06549962258794584	0.07969591732803266
spaGCN_15	0.10066260812463941	0.0	0.4592248428714652	0.39060540891875717	0.4681490931372229	0.543361083901525	0.992414347826889	0.18423136640654508	0.08984606133297912	0.18831016087776897	0.18204179334542026	0.18129766544384682	0.18282676043253596	0.13470632403300772	0.14445991146920723	0.1481026249980031	0.1361092039574588	0.1633786577323048	0.18694491420323567	0.19282886390235207	0.1685517243049287
spaGCN_1	0.12947254037661945	0.4592248428714652	0.0	0.3828450642810022	0.4673005550685974	0.35026479231029994	0.4587888937289512	0.19991400574154727	0.11274704763252187	0.2015974009836412	0.15585341778328324	0.15392579970951834	0.15599660005359217	0.13916001311211396	0.14572281845089208	0.1404100337185733	0.1327979556058865	0.17059698938357623	0.16640080499325197	0.17951653864154604	0.16846721906062165
spaGCN_4	0.0479801405700668	0.39060540891875717	0.3828450642810022	0.0	0.5618144998228256	0.4280355579733375	0.39025429312643073	0.16555051879104118	0.12898421945846805	0.15726082914015033	0.19047615405820711	0.18806921961384887	0.19017059650799906	0.13660098489809944	0.15059720275364055	0.14785813784691287	0.13407579264427405	0.1806396099700192	0.2045795791765268	0.1850758044346194	0.18557533572521087
spaGCN_7	0.0758563069305073	0.4681490931372229	0.4673005550685974	0.5618144998228256	0.0	0.38886352417675063	0.4679207464406373	0.18441093259328553	0.16292176638986172	0.17642110153029722	0.15614857873005414	0.15312431606502352	0.15607297242812912	0.1208588807086178	0.13694103203096636	0.13423782396554462	0.1226939323073168	0.146017940480831	0.16047499517774774	0.15564438788894328	0.14865710843875696
spaGCN_14	0.08358415938519999	0.543361083901525	0.35026479231029994	0.4280355579733375	0.38886352417675063	0.0	0.5423374352699468	0.13559884382262674	0.07542729308593954	0.1398221059127591	0.2165945574795592	0.21808533835951285	0.21761508145525266	0.12070670707665666	0.13685914828390713	0.1393243282084399	0.12772120724060776	0.21013559228919237	0.23755173142493333	0.2355955453243549	0.20729589124597772
spaGCN_13	0.1006580223896055	0.992414347826889	0.4587888937289512	0.39025429312643073	0.4679207464406373	0.5423374352699468	0.0	0.18415179600394166	0.08964217578801713	0.18824070639562973	0.18165248116542612	0.18095988071119118	0.1824592150381921	0.1345616627772174	0.14435523236859105	0.1480689890681399	0.13596236306040793	0.1631823585357536	0.18659112844191733	0.1924928777634109	0.16816147309877236
scanpy_2	0.10700138950924674	0.18423136640654508	0.19991400574154727	0.16555051879104118	0.18441093259328553	0.13559884382262674	0.18415179600394166	0.0	0.2528780968483373	0.840725050619675	0.1057931429779251	0.10285176271728118	0.107390832542613	0.27360721997370213	0.3178382404456951	0.2668953801708922	0.33133633558996556	0.06404519348028531	0.0760756348813559	0.0761826164613188	0.07076795155201988
scanpy_3	-0.007897771756741355	0.08984606133297912	0.11274704763252187	0.12898421945846805	0.16292176638986172	0.07542729308593954	0.08964217578801713	0.2528780968483373	0.0	0.2628967420870778	0.06272838818367402	0.0574562594339629	0.06605636827281224	0.16449749710839195	0.18539318343194736	0.16632890725712024	0.18799694215398174	0.01659719427708731	0.034014261735571594	0.03355587703755847	0.02732601411026936
scanpy_1	0.10214114476077622	0.18831016087776897	0.2015974009836412	0.15726082914015033	0.17642110153029722	0.1398221059127591	0.18824070639562973	0.840725050619675	0.2628967420870778	0.0	0.10194881901620367	0.09989420387890441	0.10329161474775012	0.3032825804161231	0.32845214045981597	0.2783168761566251	0.3594149411663973	0.06330083118642375	0.07436761626040247	0.07553776591637937	0.0676839704060688
CellCharter_2	0.06299745335144759	0.18204179334542026	0.15585341778328324	0.19047615405820711	0.15614857873005414	0.2165945574795592	0.18165248116542612	0.1057931429779251	0.06272838818367402	0.10194881901620367	0.0	0.8139702435787677	0.9013983025869403	0.14584205345135612	0.1790563395680798	0.16947727274500518	0.161161272752051	0.360775811330209	0.3742331287533791	0.3254362960364619	0.4010901714058199
CellCharter_3	0.06127179326134523	0.18129766544384682	0.15392579970951834	0.18806921961384887	0.15312431606502352	0.21808533835951285	0.18095988071119118	0.10285176271728118	0.0574562594339629	0.09989420387890441	0.8139702435787677	0.0	0.8043656567664995	0.14252258999910866	0.1729290679004097	0.16532573352695684	0.15825498216280445	0.36752486210499474	0.3870721891380873	0.32294923564928874	0.4150520888342282
CellCharter_1	0.06314980016231102	0.18282676043253596	0.15599660005359217	0.19017059650799906	0.15607297242812912	0.21761508145525266	0.1824592150381921	0.107390832542613	0.06605636827281224	0.10329161474775012	0.9013983025869403	0.8043656567664995	0.0	0.1460772249034807	0.17911994124686492	0.17113651056030207	0.16160758749210466	0.3599193115988657	0.37281469305487436	0.31950605301255314	0.4004553939717888
SpaceFlow_2	0.08125843396076518	0.13470632403300772	0.13916001311211396	0.13660098489809944	0.1208588807086178	0.12070670707665666	0.1345616627772174	0.27360721997370213	0.16449749710839195	0.3032825804161231	0.14584205345135612	0.14252258999910866	0.1460772249034807	0.0	0.6054029485549253	0.7027689530261707	0.6432454427261184	0.12956611793132222	0.1376127027704787	0.11975946821727944	0.12695528497050976
SpaceFlow_3	0.0440658819495244	0.14445991146920723	0.14572281845089208	0.15059720275364055	0.13694103203096636	0.13685914828390713	0.14435523236859105	0.3178382404456951	0.18539318343194736	0.32845214045981597	0.1790563395680798	0.1729290679004097	0.17911994124686492	0.6054029485549253	0.0	0.6615536652108872	0.789085986946828	0.1749696520513659	0.18560223606566947	0.16561220860574735	0.16758347914312147
SpaceFlow_1	0.05360216664815064	0.1481026249980031	0.1404100337185733	0.14785813784691287	0.13423782396554462	0.1393243282084399	0.1480689890681399	0.2668953801708922	0.16632890725712024	0.2783168761566251	0.16947727274500518	0.16532573352695684	0.17113651056030207	0.7027689530261707	0.6615536652108872	0.0	0.5922822146088395	0.155274125437625	0.16322358175479018	0.15201797445998388	0.1491135742880346
