	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	labelBayesSpace	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.31226983685394416	0.17207851785542475	0.31011776780863637	0.16690735480213312	0.17085351710063976	0.17316926033951235	0.3124805043913889	0.31446881216520933	0.11927953804640033	0.021723820484965958	0.02173597263942327	0.11985964677609098	0.22661254574984985	0.21047754983647773	0.22313638591303808	0.18264781133293437	0.3087145236301978	0.16049286242192853	0.17063245072831415	0.04214863254111121	0.3454602945716154	0.25480615318886557	0.247377006052677	0.2568062966544106	0.20234469916980743	0.3077354227304833	0.2178113551951043	0.2319775444521862	0.29485707653033694	0.2786317594478421	0.29694081107693565	0.274352987961834	0.28855017652949483	0.012297494632542942	0.013546130591227766	0.010388699862089942	0.017146672092396512	0.05957291072147848	0.049703561554254455	0.08283436304548854	0.03873382199851507	0.18342970740655618	0.11378236076905138	0.02526105656699783	0.015459889048343776	0.01726405983741346	0.019336264915407332	0.0076112228764446	0.007304611311105935	0.007858388605160149	0.04467212013718233	0.039373719589597275	-0.03181158349928046	0.019383854184110046	0.17688662533304672	0.14049243405684214	0.01751053172564616	0.1266683972352643	0.18834338516308982	0.02067503147976299	0.012816318871118358
spaGCN_9	0.31226983685394416	0.0	0.5420608789753685	0.9401666661464958	0.5600554556865918	0.5449896213447755	0.5517388295692928	0.9221914883126201	0.9610477056421184	0.34004177599643104	0.2602360241983614	0.26281832319460013	0.34067639734812294	0.5642252310267646	0.5125150225157189	0.5440125318093854	0.34234763900049736	0.8056170571655659	0.32669802066017334	0.3305575457359951	0.20591486885969698	0.3393849601860152	0.5211613013546395	0.5079242424311092	0.5261917073816571	0.4296390241359515	0.5123441290367146	0.44760449414127956	0.45778920348049223	0.3053238139758311	0.23902923648816746	0.5241913169963393	0.46989758540975846	0.2655888317911675	0.2016612596884137	0.19132148042155106	0.1819892197295159	0.19062572309937284	0.3980252713187283	0.3763664745198974	0.26476908866425974	0.20872663082401496	0.3023519592284273	0.2895058144267557	0.24571612522404576	0.23939562627506258	0.24177522073472962	0.24233332968700322	0.22979360896102907	0.22960469903746622	0.22981496501321377	0.32304802896227097	0.26028941670716904	0.250471866614193	0.23358679964728	0.3207463537639467	0.39076272634900006	0.24240146767503679	0.35939647334336156	0.6840050607931472	0.23811932494720867	0.2163032544302224
spaGCN_6	0.17207851785542475	0.5420608789753685	0.0	0.5593827786538879	0.9171245669441015	0.9771157364033957	0.9460671876797797	0.5602715917143487	0.5465215432563679	0.41772552432875715	0.3984734474718149	0.3968364792804326	0.4196181601057334	0.5226191434481514	0.49306175054739665	0.5119419257207013	0.43927727914010134	0.48333366652667786	0.3880106818004656	0.3984880888156917	0.3940453939766502	0.2505157774232342	0.4892892931595057	0.4656266053092055	0.4912731218095337	0.45993871111997703	0.434826055013032	0.49122141992281665	0.4946537977473297	0.3911889514789998	0.31293422493674977	0.44097527467830105	0.3986810226544416	0.3602372194640002	0.477910910598121	0.43744420185410093	0.43252632724422385	0.48726206716438714	0.3133470609917381	0.3230295091899699	0.331570481868852	0.43104623242527446	0.4781008127459148	0.4389919611214798	0.35203234049245274	0.3536246106896509	0.3118649099707506	0.386153421235161	0.3939260037144001	0.3933657031969604	0.3925681854324406	0.41565522980139336	0.519240312569766	0.4899553950336219	0.37394197868343276	0.4224240642553446	0.5079072227707824	0.40224041717097897	0.4787428944328123	0.6484487093160021	0.3779307787982199	0.3763682730198415
spaGCN_10	0.31011776780863637	0.9401666661464958	0.5593827786538879	0.0	0.5663491151792525	0.5598667590523028	0.567259597563882	0.9758599478139647	0.9297563053348199	0.34597735223125936	0.2575185887351767	0.2590881401246171	0.34660812589993517	0.5607213342063797	0.5072275419199096	0.5361735252360036	0.3448956461074465	0.8134383056721988	0.33028895365065236	0.3348745172184377	0.20813898340194392	0.350930824096011	0.5292934336223069	0.5150249151169553	0.5326214876902211	0.43864906222397243	0.5268608807558177	0.45838387691980315	0.46061562712890103	0.3138925554955647	0.25093190000071225	0.5314597259914361	0.48238585502196724	0.27798585197274245	0.2047560144843056	0.19483628378287726	0.18586242155287325	0.19432742760711344	0.4065507368507798	0.38297110012609464	0.2679780996407382	0.20965532351264038	0.31391587315602504	0.30021877468813646	0.24610771734964917	0.2400334448413347	0.24290225337098365	0.24383559471276828	0.22858999236612518	0.22818397251367822	0.22859913398761983	0.3146409335864231	0.2599128076263501	0.25293953180322815	0.23838050744632414	0.3255217560011212	0.3940234434085886	0.24266153398642748	0.364276047802679	0.6743580275018634	0.24300058530702484	0.22184605339270752
spaGCN_1	0.16690735480213312	0.5600554556865918	0.9171245669441015	0.5663491151792525	0.0	0.9331843712675665	0.9616662668495473	0.5548100693838052	0.5461813904283713	0.40837729372232484	0.4027931831126472	0.40253830365739746	0.410188916036493	0.5280418997515955	0.5001088514825501	0.5177774163645591	0.43657523695057365	0.4765338207394254	0.3870704102340203	0.3954620127963063	0.3892759538872033	0.24187966449928042	0.4826300211727887	0.45886660932547035	0.49055215362248467	0.44343509292822925	0.41846012215541467	0.47262646277513326	0.49395386208000136	0.38636413668367336	0.28513207964898035	0.45099674825677266	0.3816939361683691	0.3294808962007839	0.4684197322555709	0.4369318634102992	0.4337040949762516	0.48819338053267725	0.3122031469355688	0.3207059190404679	0.32901680499577013	0.4154927794958884	0.4610293281999084	0.42716710714465345	0.36229678082278777	0.3566988374979147	0.31477133346460073	0.3914557119802629	0.405070392252151	0.4051993468150997	0.4043934689486792	0.41971413575864364	0.5074814769661825	0.4885567565113141	0.3731990865564727	0.40450085268604663	0.4855135050818879	0.41476490822196216	0.45744023405237255	0.6630599675168647	0.37844674245351634	0.37722933809185216
spaGCN_4	0.17085351710063976	0.5449896213447755	0.9771157364033957	0.5598667590523028	0.9331843712675665	0.0	0.9357447736896599	0.5543366989369233	0.5431352446047861	0.4145442404285934	0.40515422544333085	0.403347531429691	0.4164429324680619	0.5268327747018494	0.49846407311858276	0.5161391141606333	0.43655870008965886	0.47817810796770926	0.3860609864805322	0.39556897000496666	0.3923828964864592	0.2486312821134998	0.4885194756932663	0.46256729558021564	0.4920454181126492	0.4514776587455778	0.4305213363851243	0.4812992839084597	0.5018612036592884	0.3978013000638115	0.30294905448111037	0.450757225894633	0.39392609035558	0.3498909059596655	0.4741484208086986	0.43546987110916563	0.4310661695049349	0.4886957049165212	0.3106689378273948	0.31986252258790054	0.32944443924628913	0.4265335440683701	0.4725476789498284	0.4335575675556204	0.35520225208277123	0.3551272504279565	0.3129295204775882	0.3894174015144711	0.4002872530656885	0.3997139988522161	0.39891345563382896	0.42081531803998845	0.5176617914987082	0.49068062931396794	0.3745980486191905	0.41697945123007	0.4997167876834031	0.40862251471769273	0.4722373599358208	0.650807140874202	0.37933990087712605	0.3784604861097718
spaGCN_7	0.17316926033951235	0.5517388295692928	0.9460671876797797	0.567259597563882	0.9616662668495473	0.9357447736896599	0.0	0.5720192935771695	0.5594034174110746	0.41516432065145803	0.39405773322472704	0.39379377805433424	0.41696722874482217	0.5200383437997383	0.49350628263443835	0.509784583230154	0.4406722382268417	0.48726177559700806	0.38902350772407884	0.4010338991847593	0.39111930155774166	0.2452534782651455	0.4880308449567252	0.46569918782699465	0.49329545886756054	0.45929401665607605	0.42694907366941415	0.4910187780622193	0.4880689904438167	0.38512004445369497	0.3009675996751077	0.4399498691577593	0.3916488709411074	0.348814476680041	0.4722397336107225	0.4374277565282655	0.4324594096844665	0.4827999047775268	0.3180530874404649	0.32647338646968876	0.33400120053793936	0.4217643839537589	0.473134757932238	0.44088439169839766	0.3588856636822033	0.35504494228580763	0.3134167496029777	0.3874692509042649	0.39384964244659637	0.39398205626311816	0.3931774347645733	0.4123034486082948	0.5078179823189448	0.48834992668624017	0.37294725614485214	0.4171790895783096	0.500418468338568	0.4047962665694477	0.47201712914650096	0.6574353138473638	0.3778143639617893	0.37819999946406
spaGCN_14	0.3124805043913889	0.9221914883126201	0.5602715917143487	0.9758599478139647	0.5548100693838052	0.5543366989369233	0.5720192935771695	0.0	0.9491866263370741	0.3479349498911295	0.2517653230508716	0.2533053129039959	0.34853791449828403	0.5548435627133027	0.5015835843578248	0.5301576834723154	0.3489664866117868	0.8236624750769913	0.33148824678187283	0.3383055996685724	0.21051948492667005	0.3528790988559855	0.5325049566823783	0.5206946447702014	0.5358173909269366	0.4458840729466287	0.5316195492059025	0.46552795718965784	0.4577962086926992	0.3121165563402207	0.2560335966716536	0.5231256494353287	0.4880775400138756	0.28467426595390866	0.2047435529239958	0.19579820478501833	0.18572437930901864	0.19289294770014134	0.4098245260482187	0.38600982594656513	0.2728558453375721	0.21150039256114161	0.3200776872796521	0.30612124008828256	0.24665664037385124	0.2402760202520991	0.24319649360946355	0.24342537057764693	0.22308230273754434	0.22270655652250113	0.22309450868669506	0.3082516384230568	0.2578645168792636	0.2527029513335599	0.2395496988961493	0.3312921938391831	0.3992449408086626	0.23895863070229464	0.37075892319742015	0.6703398132169744	0.2427186506632013	0.22297834818072945
spaGCN_13	0.31446881216520933	0.9610477056421184	0.5465215432563679	0.9297563053348199	0.5461813904283713	0.5431352446047861	0.5594034174110746	0.9491866263370741	0.0	0.3459702720640429	0.2543881885015477	0.2568940480412594	0.3466083902153729	0.5563255402383975	0.5029368013001911	0.5326249994934225	0.3501017358090901	0.8212010369967031	0.32991484681749494	0.33779110832260617	0.20930566839674566	0.34466302987037833	0.527507128691236	0.5169453866439229	0.5316793657522372	0.4383951907697279	0.521721564915038	0.4579517054917118	0.4546070820652194	0.3044452704973041	0.24670465036164735	0.5173321842052183	0.4784163539146704	0.27515341996717535	0.20337380322152265	0.1943694588855716	0.18354094772431553	0.18969787457040335	0.40467642455762937	0.38294884970768567	0.2715113782462931	0.21151734800063962	0.31078318646952985	0.2982763069556535	0.24672812707768088	0.24001997864677774	0.24285713757772745	0.24229553062009165	0.22308054320645823	0.22291722963726512	0.22309511094327508	0.31568385227136525	0.2588031831588581	0.2520689884987599	0.23658925264848385	0.3295293826027464	0.3986304133528778	0.23810003583746284	0.3682357564361442	0.6775930441995129	0.23972023027794057	0.2194325145487643
stardust_2	0.11927953804640033	0.34004177599643104	0.41772552432875715	0.34597735223125936	0.40837729372232484	0.4145442404285934	0.41516432065145803	0.3479349498911295	0.3459702720640429	0.0	0.3432032887451561	0.34213282972540326	0.9851354926962143	0.36040204279239746	0.35043819312369057	0.3648635399828235	0.2554939476878345	0.3800028910866817	0.29219382495731305	0.30443026310458976	0.3216749708533422	0.14544529069180762	0.2918567875347885	0.2957360210368757	0.28441988631800486	0.32894454415563	0.23234170373518462	0.33267838660791893	0.29979791678100026	0.12905372317537206	0.1396841651950866	0.20434805394896377	0.22924152547972376	0.14467837849378973	0.33428727749939585	0.3652356637488974	0.36656435089754597	0.34754866500590215	0.3988172182843654	0.40043491996356695	0.3155798853430272	0.3501473212351732	0.3736568418947502	0.5860911350549093	0.34835158144278144	0.39052117448575074	0.3891236694498683	0.3848799060020289	0.38640040070558734	0.3851661544431804	0.3861379214876809	0.30395265727288606	0.31498193336031793	0.39824743968775067	0.37093395587031613	0.4373803812460934	0.7080002137507302	0.38995138842462224	0.7436735481959751	0.4502851298162523	0.37240415977783914	0.39891106527506204
