	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	BayesSpace_1	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.4452101729999842	0.4731822926656089	0.4428433085475043	0.49608013425421044	0.4849010178266885	0.4856721811668964	0.4342625837701336	0.43997501548354145	0.1444987391022498	0.1876803205678966	0.2054467106154721	0.1348112607809141	0.4698192188251794	0.4503167180769516	0.5415862404202334	0.4363264993726597	0.4433421210577768	0.4207847223485494	0.41582741677416235	0.4486294384278481	0.20142374702569513	0.2976575861285878	0.3069002880168016	0.3190394799179535	0.3431416382855895	0.3754948913635974	0.3704991532473511	0.48132204950566726	0.4492281614537833	0.30977982875636667	0.5262615854115391	0.34628526991548236	0.3367998503976974	0.3984042118530167	0.40336787090512144	0.42319484578621896	0.37246341884800915	0.3425507450352736	0.3382589531646985	0.3482539891961278	0.3398139481861519	0.3259108480550012	0.28160456470470857	0.4698939996108336	0.4582772938102252	0.46113792558897676	0.4706182446348835	0.3954002294956053	0.4064063193504746	0.4104794953012845	0.39474378383133113	0.4982215171102863	0.49117381310268743	0.3893598790005643	0.3108431652931593	0.3931643651638664	0.5306099189047705	0.37192964941603296	0.46872748233585937	0.4051210597323127	0.3547646997142698
spaGCN_9	0.4452101729999842	0.0	0.49444209789687527	0.628784509931894	0.5171159504656325	0.5101023885893701	0.5063095696481885	0.6073201541147693	0.9059980274280386	0.1462300541635622	0.19112729304999868	0.20801070446757722	0.14301267531593412	0.3625480316603837	0.3510897650683556	0.4388948935178844	0.43642479494429054	0.45564810766055025	0.49421584473121727	0.48287633933006197	0.45439488740046957	0.22856229178575985	0.38960111130543246	0.41838200613969717	0.33695502889661616	0.3768227413060238	0.40488770498189885	0.4185178750222377	0.5298485252304693	0.4449408957604667	0.3273110933989047	0.45505806438603913	0.3867995793641605	0.36484730196553355	0.39362663457786606	0.4026360089834585	0.4147737390722527	0.4447311637493368	0.35068338497191226	0.3809383816915683	0.3548861440492759	0.3724141701247051	0.36255816645160605	0.3144022599403982	0.5696717599415485	0.4733329495491858	0.4928625176881659	0.48908655916504606	0.38834086975432197	0.41094506450085144	0.38892493290667507	0.3923725366917126	0.4543292945737059	0.4617687873069143	0.4146882205490984	0.3187409596201657	0.4038813574150546	0.4527890453577817	0.39059954559265203	0.47930257624402506	0.40402945195973045	0.3794502466855553
spaGCN_6	0.4731822926656089	0.49444209789687527	0.0	0.5032065017154059	0.6843521953686501	0.9307279025311728	0.7365509613341188	0.5374228487941392	0.540441460786822	0.17672213879675439	0.21595892150393872	0.2352388957681265	0.17184074750857126	0.3909295677572365	0.37765674985679526	0.43234683684770303	0.5872163444548165	0.5687269068525047	0.5895056572406114	0.5921763824733203	0.5874197409847232	0.18982103382272955	0.39053055178115414	0.40595588687566614	0.3770274409116299	0.39929849899596404	0.43086760182478906	0.4449373522845793	0.5044938130668404	0.5408227135918887	0.4014803286341685	0.47627124581889263	0.41202801111227283	0.44703197150263113	0.4439966543168757	0.5204875316451004	0.5514258908407477	0.4014186412592931	0.44279950623712294	0.3951552727304713	0.4869001768431694	0.5192546683622219	0.48357235820119016	0.3760773704883726	0.533800053574686	0.6403995988822588	0.6324040128418845	0.6200422518660549	0.4148061436145883	0.4258542903718213	0.4089641548024873	0.41544365654981535	0.558576183193264	0.5656941955370379	0.5201420956635142	0.40454561027561087	0.5070459185886571	0.44397913059799843	0.4856473590219745	0.5222122309902875	0.5447488101944107	0.4589730692919534
spaGCN_10	0.4428433085475043	0.628784509931894	0.5032065017154059	0.0	0.5038639773006277	0.5136136414214072	0.5040578935649805	0.928067201208691	0.634720505576655	0.15592428157279872	0.18491828821955694	0.1928773972104744	0.15311074312826461	0.35601780171155456	0.35986955442152774	0.43468833851522637	0.46084403578913186	0.46772323494763096	0.5039930296290888	0.4947841429164057	0.4801772509262224	0.2410781480284171	0.4087173750812671	0.45316743169164475	0.36554178126159687	0.42206033458624	0.4319244824585186	0.4573464271851997	0.5187406062785744	0.43011511671405117	0.357582935731343	0.46145214139908874	0.41352849379146805	0.37398745233362685	0.41622617186894023	0.444364554346597	0.45505730260500693	0.5107987462273376	0.4275196538290058	0.46616456014127494	0.3660595961949515	0.38466764289215166	0.3626970386499794	0.35060084429077343	0.4989134237031171	0.4741131802144219	0.5008839004500697	0.49839466179683733	0.3706399859299611	0.41726982985913225	0.36965026124145905	0.37819674320276625	0.44800612813892005	0.44762641628310507	0.44810600438538384	0.3756791784102815	0.3894716112617061	0.43248551747167907	0.43224513043936347	0.441398584645919	0.421869856114558	0.38498231601015354
spaGCN_1	0.49608013425421044	0.5171159504656325	0.6843521953686501	0.5038639773006277	0.0	0.7119145945761963	0.9088862114817957	0.49988686534684124	0.5189905806288769	0.1619459361172258	0.21613887464069176	0.24020198356742137	0.15617308983111702	0.4292963178873234	0.42799916823558454	0.4829400842360397	0.5126431994469748	0.5334284016446961	0.5606947209754545	0.559600543451056	0.5219754537606999	0.18765815342363243	0.376321256619776	0.3869714738024072	0.3731699132261746	0.3594827016751933	0.39669184831784554	0.40948117133275225	0.5017010530148885	0.513820567579326	0.3562343574445959	0.4640851209771834	0.37279939306237947	0.3976697822888232	0.41881924132481485	0.48418510901064277	0.4979261525974014	0.3798343394767115	0.3847453195370907	0.3522792011233812	0.4183907067707425	0.4282631067200647	0.4064163824061903	0.33328686660491613	0.4957186281374424	0.6224701995873017	0.5790223107231163	0.6047514603565319	0.4782990147185554	0.4875511267650128	0.4791674708934686	0.4800885597455801	0.5849531890290285	0.5865864099698093	0.470481475833434	0.36114923462380993	0.44238578551021795	0.475761450856972	0.40910015770358227	0.5411853151461465	0.5107203938127043	0.3968449750519596
spaGCN_4	0.4849010178266885	0.5101023885893701	0.9307279025311728	0.5136136414214072	0.7119145945761963	0.0	0.7123367438876336	0.5291037378652973	0.5334676343095234	0.1724226724212827	0.21594734883319716	0.23639338619767178	0.16709062936379626	0.40594360522458395	0.3967294210825243	0.44861599056812895	0.5577337245539361	0.5440783541185995	0.5669551175448171	0.5650453145961613	0.5564777322878519	0.18591537188234303	0.38199215921872764	0.3981795410348	0.37520712667925377	0.3718614358114224	0.40095821128057824	0.41569336959250386	0.5057917222443973	0.5331438218138199	0.3702928468210827	0.4823290503940938	0.3813347434133418	0.41610488807520213	0.421547015057126	0.5000079058441266	0.5287097798509127	0.38993439868557744	0.4275630958654112	0.3837806806041435	0.46228294340736736	0.48797554221212375	0.4528960922215199	0.3595047641180751	0.5241714268075016	0.6224099339262806	0.6210599652429533	0.6068915668804578	0.42341017649480367	0.43327777430186376	0.4179188606835891	0.4240639627359025	0.5531859869567938	0.5664449853575281	0.4976902119779685	0.38628949651101957	0.4835025805657827	0.45359107347657723	0.45795185571810637	0.5327231028303384	0.5243108991653004	0.4291275069475331
spaGCN_7	0.4856721811668964	0.5063095696481885	0.7365509613341188	0.5040578935649805	0.9088862114817957	0.7123367438876336	0.0	0.523779118647962	0.5373424727692464	0.17000414711569667	0.21781549408392128	0.24041643643952235	0.16463177796165904	0.4143889150593776	0.40503292607182206	0.4653010606890116	0.5457726809247712	0.5642658609818308	0.5880124615038116	0.5924137569196964	0.5550893089468111	0.1909918432234428	0.38318279037255787	0.39713469705107257	0.3730822411409831	0.38859207081528024	0.42822822502828056	0.43811158853071924	0.50145795400016	0.5303182046242484	0.38630195829701974	0.46133127212880337	0.40282397189802527	0.4305602958174161	0.4393316932071681	0.5040852115491214	0.5211612062667312	0.3906069973785188	0.401845295698065	0.36788810719329634	0.4510065102481726	0.46507357541212574	0.4403834966325262	0.35508863537440255	0.5122669182377804	0.6441968307853883	0.599460497177114	0.6160931716130449	0.45401560202935587	0.46407826435550203	0.4589707301529472	0.45532029516055983	0.5919865242079991	0.5818545876803248	0.49425316068427344	0.38262075153457875	0.4691384443210335	0.4634153379367197	0.44057661610516324	0.5171382425794285	0.5357959543532698	0.4239024508110139
spaGCN_14	0.4342625837701336	0.6073201541147693	0.5374228487941392	0.928067201208691	0.49988686534684124	0.5291037378652973	0.523779118647962	0.0	0.6572703715136096	0.1626900017120664	0.18584368654940286	0.19431711477683902	0.15999684876725	0.35441092660762735	0.35421557637057083	0.42898604954704855	0.4886852808509915	0.49214286572517807	0.5340665403485261	0.5251152013496181	0.5120181293650173	0.24087611441790258	0.41656220615594913	0.46357531554511033	0.3661006871732913	0.44732373331377967	0.45629907435498357	0.4793183935523005	0.5192117522456747	0.44441413771734534	0.3820375240228295	0.459546645618409	0.44150735788121714	0.3948266480293785	0.4336801319319192	0.4649088889172268	0.4775161467609464	0.517280327704292	0.446051421401267	0.4772506070594928	0.39789071330216447	0.4214100432235369	0.3953727842280307	0.3724628988862642	0.5122021632714463	0.4846001756805515	0.5142678602739025	0.4991815990359559	0.351017430365865	0.3983386146758021	0.34936448495190403	0.3584019776430196	0.45789451295614936	0.4553700981351192	0.46434664990082697	0.40284052153458083	0.41275527448823734	0.42212327155238244	0.46972715421363204	0.42916334940864315	0.43312406331578207	0.41230685051798277
spaGCN_13	0.43997501548354145	0.9059980274280386	0.540441460786822	0.634720505576655	0.5189905806288769	0.5334676343095234	0.5373424727692464	0.6572703715136096	0.0	0.15292671465905655	0.18987569209681876	0.20734078846337906	0.1487448232989229	0.3550140543265173	0.34758281093167315	0.43000940449762876	0.4723644371811028	0.4900874544701582	0.5373892072213683	0.5280934313668376	0.493897116318833	0.23362320201231812	0.40520826481788796	0.43479553887811023	0.34266589353722315	0.40937462808682334	0.43789820491045134	0.45152489111187877	0.5454608792348323	0.4643540335657477	0.35568114233618536	0.46278305444512186	0.4222338788909401	0.39698886096117403	0.4151350038401479	0.4257122297883257	0.43906644348103563	0.45707904267814126	0.3830152954766712	0.4082675577944512	0.3900472090999287	0.41668707776114927	0.3991362898628028	0.33763697967005735	0.5963418173786313	0.49175637424974367	0.5185984486392995	0.5011535604353022	0.37384985716471153	0.39745130990506183	0.3707709538454034	0.3770771897826522	0.4640285414577443	0.46825313230232163	0.44045431268168095	0.3520329916272641	0.43778977230334654	0.44650086005834605	0.437404580791221	0.46213640706118425	0.4245831933502622	0.4126982320230099
stardust_2	0.1444987391022498	0.1462300541635622	0.17672213879675439	0.15592428157279872	0.1619459361172258	0.1724226724212827	0.17000414711569667	0.1626900017120664	0.15292671465905655	0.0	0.6641627653019102	0.5453228835154657	0.9150828352434964	0.14188164985750693	0.13991404341092484	0.14888564585166494	0.16911405033584412	0.1498489575006109	0.1437445233855564	0.14609628271649341	0.16853985160481513	0.13014283641189509	0.15506130933934853	0.17656362884162372	0.1493810870187112	0.19882382800158832	0.19388841420359176	0.19130466752898675	0.1431629238664198	0.14010950795771476	0.22103239104374034	0.15141684386219245	0.2050918165760259	0.17357532837671658	0.19716086281898126	0.1891394906206578	0.20892284506356673	0.18225954790133225	0.13592591485520716	0.14333808559165828	0.1489524700352635	0.17013819276648037	0.14547264474444313	0.2066915249316754	0.15482684039059408	0.1685910831546557	0.16043959344397588	0.16076177359121263	0.15370703529977167	0.1581046263456008	0.16028276675218375	0.15362465097326455	0.20267469474033908	0.19400818830977934	0.20260434597984076	0.18438041458128088	0.19235008809182194	0.15287627799922537	0.20288723150371585	0.13902635145770498	0.16280450213640713	0.18581168502051948
