	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	labelDRSC	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.21330117024167597	0.16665540893607375	0.16318158461397386	0.16699221095951627	0.1470627607763348	0.16711337429192363	0.23113573847309854	0.16716524746012007	0.39716627325830106	0.38443791130756216	0.33969428265815704	0.3976529558030196	0.42524285312395416	0.43073951996822	0.45577258426081263	0.3602252350016901	0.28828311776190596	0.4057774531915707	0.3003485718986692	0.32035389271856335	0.3567348299760672	0.4872132720048929	0.44978510430748525	0.1759612010388175	0.1973760964167818	0.19739443713304816	0.21662633543443166	0.21799180857415312	0.17863009589333528	0.29225510513643455	0.3991623923941803	0.36897630938866904	0.390328845837224	0.4239118071029273	0.334549294993581	0.35378803488575616
spaGCN_6	0.21330117024167597	0.0	0.49188404109428957	0.6545498438840041	0.52253262495478	0.4660503769784641	0.36613949792837297	0.3815498047182548	0.3664222046156145	0.4335052018584645	0.436405247305195	0.46063465233454	0.4471333950527992	0.4101978495141092	0.3986808513432906	0.41207390814499967	0.4310287706525713	0.42130867867897254	0.34248783653448145	0.4165696495091788	0.42519564110364355	0.41090743205101865	0.3717124337027205	0.4090096602018652	0.43078899362558887	0.3450186736967649	0.3447556756077411	0.36773377243103805	0.3691491121831332	0.4518372660870499	0.4112766246182938	0.4115659447668584	0.35145193606779024	0.3122737673163185	0.35017828765948245	0.3218113154815929	0.4072762649177685
spaGCN_4	0.16665540893607375	0.49188404109428957	0.0	0.6092478142374153	0.45949644253801947	0.5704523728276281	0.47124294289855845	0.48489102400939554	0.47431915374480826	0.2968277650412174	0.30354156481167033	0.3339086718968889	0.3059896013743223	0.297059337847903	0.27564137454242255	0.3015428944651862	0.3317350731502049	0.30169449865848963	0.3299104965966261	0.28415434666369305	0.2727636798748467	0.2719403661118223	0.2637683706679037	0.3032677863864363	0.5172810946116517	0.4109875218123006	0.40987584751587425	0.4314474994778962	0.43341016994266435	0.4217387537820718	0.3915960715572043	0.30448590074311327	0.28502491265260566	0.2188641550437748	0.28359713264657527	0.23807732307485555	0.26638332706417533
spaGCN_7	0.16318158461397386	0.6545498438840041	0.6092478142374153	0.0	0.4920386651506651	0.6089621178784039	0.5394511821851401	0.5552206619744846	0.5426964705170905	0.29642815003195244	0.3060738613517643	0.3447493243895107	0.3050317804975516	0.2862777463746099	0.2689588860751226	0.2866312823189153	0.31879681871906185	0.3482820467766667	0.27898309609000255	0.3028242694946366	0.2936081070740569	0.29891887239033665	0.25060057885985043	0.28432081269041604	0.51449248720743	0.4140362188775939	0.4153127788860745	0.4421668448106103	0.4444832577029325	0.4277801129237936	0.3982369241107851	0.29040463957360224	0.2407313199268544	0.207455346191044	0.23189076622467975	0.2252120717263715	0.27781457199592613
spaGCN_14	0.16699221095951627	0.52253262495478	0.45949644253801947	0.4920386651506651	0.0	0.6529214388979698	0.4853199006954445	0.47095158974278356	0.48841325831310173	0.29656282492233693	0.3015949167047987	0.3358105515219255	0.3123989029980493	0.2758037042213344	0.2646750001785152	0.2781653225715054	0.3425492858807257	0.3619067386933	0.23588551656294954	0.2850168372027683	0.26308526573799346	0.26379745734952287	0.25432696205771743	0.28021627562058554	0.38476063497399166	0.3514347992097734	0.35095853526604015	0.41329955598228624	0.4137409594988827	0.4547256180635349	0.4124840664897309	0.26607473051123615	0.2305937454986037	0.21318407403432227	0.2262465997437961	0.24959934845333007	0.2532814728950651
spaGCN_13	0.1470627607763348	0.4660503769784641	0.5704523728276281	0.6089621178784039	0.6529214388979698	0.0	0.6173170109505126	0.553790352306959	0.6213566584145069	0.2768798887389623	0.27401760627853355	0.31884638787375363	0.2883557820472674	0.2515934746301347	0.23911057553341025	0.25218462885434684	0.3322195185099397	0.35602761648252285	0.24394210553938336	0.2671342167696358	0.23314301731743273	0.2405566757545755	0.24025083795248395	0.25162812310687643	0.5034281865052606	0.5036802937970364	0.5030213012667363	0.575362008144744	0.5758389663340238	0.561609252233796	0.5086222494094143	0.23990744088705185	0.22130240542450672	0.19223835408682244	0.20724100779673865	0.19567082141674574	0.2305217990091941
scanpy_2	0.16711337429192363	0.36613949792837297	0.47124294289855845	0.5394511821851401	0.4853199006954445	0.6173170109505126	0.0	0.858280214065874	0.9758911197264386	0.20714597077559208	0.19627986473191264	0.2572835238171669	0.2068864605447695	0.19775214349710668	0.1819160819473141	0.19674004290150351	0.30661762304368423	0.2844185506255961	0.20864708898121861	0.20097005195185347	0.17303282585599938	0.20515727809770098	0.21449087337289294	0.18797746389439599	0.5861029645992782	0.6797383409295891	0.6811494902983619	0.7695063591072534	0.7695497931127304	0.609225188342005	0.6326430423268312	0.19236913190248942	0.16228672076371603	0.14582377537460636	0.16106191652719345	0.13799091592963372	0.17223098233693765
scanpy_3	0.23113573847309854	0.3815498047182548	0.48489102400939554	0.5552206619744846	0.47095158974278356	0.553790352306959	0.858280214065874	0.0	0.8629096324818027	0.22467978465298052	0.2144606321238995	0.2686831261032399	0.22176567182180804	0.21769693550732044	0.20433163938511853	0.21607723221351435	0.2750507787185844	0.2466834659423506	0.26892531410600723	0.2124929603426755	0.19421721844207318	0.20797407216882	0.22052307780656488	0.21128221174392578	0.5931041742002932	0.6556617476821143	0.655953786338288	0.696233057811254	0.6960822853703377	0.5784903122806511	0.6581428545734291	0.21560178089889143	0.1747485756329285	0.15751627162799428	0.19321447717148493	0.15666216701977637	0.1903168052144104
scanpy_1	0.16716524746012007	0.3664222046156145	0.47431915374480826	0.5426964705170905	0.48841325831310173	0.6213566584145069	0.9758911197264386	0.8629096324818027	0.0	0.20692462764947198	0.19589923990249672	0.2568619939395684	0.20647515085393786	0.1976764260126539	0.18177332452854006	0.196687860606884	0.30740379785439814	0.28482093329403574	0.20816826527557333	0.20041455656219476	0.17289806145047149	0.20499141473826613	0.21451903452275528	0.1874076984232915	0.5872931491258782	0.6742098690965597	0.6742567072521374	0.7623961404090193	0.7628911910635418	0.6120574359842371	0.6347609312693479	0.19214043478080536	0.16151242920562764	0.14567298022535083	0.16088372674654108	0.13746566535357468	0.171376191422504
bass_5	0.39716627325830106	0.4335052018584645	0.2968277650412174	0.29642815003195244	0.29656282492233693	0.2768798887389623	0.20714597077559208	0.22467978465298052	0.20692462764947198	0.0	0.776313975075972	0.6913149278852482	0.8270245044028194	0.6923835112949314	0.691581322032949	0.7278651997357072	0.5137643349657682	0.44116550539777477	0.3731299843050274	0.5747136971841754	0.6436184214829543	0.6172163621278026	0.6582791934088535	0.7303816231855137	0.3153297606443294	0.22424606522606214	0.22514785750411093	0.2260328428486241	0.2272853855441018	0.30020211000907626	0.26923953989148736	0.676271778950481	0.5698603552833534	0.5555009982562548	0.6074372790911231	0.5749691949474889	0.6796385757162393
