data	sample	method_instance	memory_mb	runtime_s	method	n_cell	n_gene	technology	runtime(min)	memory(GB)	ARI
0	libd_dlpfc	Br8100_151674	BANKSY_default	2161.89	37.3372	BANKSY	3673	33538	Visium	0.6222866666666668	2.16189	0.545011
1	libd_dlpfc	Br5292_151507	BANKSY_default	4382.98	47.0926	BANKSY	4226	33538	Visium	0.7848766666666667	4.38298	0.531372
2	libd_dlpfc	Br5595_151672	BANKSY_default	4328.43	47.9045	BANKSY	4015	33538	Visium	0.7984083333333333	4.32843	0.524298
3	libd_dlpfc	Br8100_151675	BANKSY_default	1022.39	43.3779	BANKSY	3592	33538	Visium	0.722965	1.02239	0.585737
4	libd_dlpfc	Br5595_151670	BANKSY_default	1611.57	44.3011	BANKSY	3498	33538	Visium	0.7383516666666666	1.61157	0.382662
5	libd_dlpfc	Br5595_151671	BANKSY_default	4504.91	47.011	BANKSY	4110	33538	Visium	0.7835166666666668	4.50491	0.568729
6	libd_dlpfc	Br5292_151509	BANKSY_default	4979.4	51.4388	BANKSY	4789	33538	Visium	0.8573133333333334	4.9794	0.479494
7	libd_dlpfc	Br5292_151510	BANKSY_default	4739.32	54.5624	BANKSY	4634	33538	Visium	0.9093733333333333	4.739319999999999	0.491679
8	libd_dlpfc	Br8100_151676	BANKSY_default	1036.14	42.3329	BANKSY	3460	33538	Visium	0.7055483333333333	1.03614	0.456864
9	libd_dlpfc	Br8100_151673	BANKSY_default	1799.28	35.616	BANKSY	3639	33538	Visium	0.5936	1.79928	0.57009
10	libd_dlpfc	Br5595_151669	BANKSY_default	2121.86	37.289	BANKSY	3661	33538	Visium	0.6214833333333334	2.1218600000000003	0.452385
11	libd_dlpfc	Br5292_151508	BANKSY_default	4379.64	50.1258	BANKSY	4384	33538	Visium	0.83543	4.37964	0.508651
12	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	BANKSY_default	5289.41	62.8059	BANKSY	3798	36601	Visium	1.046765	5.28941	0.0393737
13	visium_chicken_heart	sample_D4	BANKSY_default	935.11	24.8015	BANKSY	747	24356	Visium	0.4133583333333333	0.93511	0.208964
14	visium_chicken_heart	sample_D14	BANKSY_default	967.46	33.2158	BANKSY	1967	24356	Visium	0.5535966666666667	0.96746	0.346764
15	visium_chicken_heart	sample_D7	BANKSY_default	1171.77	33.6144	BANKSY	1966	24356	Visium	0.5602400000000001	1.17177	0.498222
16	visium_chicken_heart	sample_D10	BANKSY_default	1796.48	31.3641	BANKSY	1916	24356	Visium	0.5227350000000001	1.79648	0.51911
17	STARmap_plus	well09	BANKSY_default	4652.16	447.5424	BANKSY	50603	1022	Starmap+	7.45904	4.65216	0.5741
18	STARmap_plus	well01brain	BANKSY_default	3243.11	151.4635	BANKSY	29623	1022	Starmap+	2.524391666666667	3.24311	0.155622
