data	sample	method_instance	memory_mb	runtime_s	method	n_cell	n_gene	technology	runtime(min)	memory(GB)	ARI
0	libd_dlpfc	Br8100_151674	BANKSY/config_1	897.3	45.3268	BANKSY	3673	33538	Visium	0.7554466666666666	0.8973	0.545011
1	libd_dlpfc	Br5292_151507	BANKSY/config_1	1043.47	43.2866	BANKSY	4226	33538	Visium	0.7214433333333333	1.0434700000000001	0.531372
2	libd_dlpfc	Br5595_151672	BANKSY/config_1	2130.0	49.0646	BANKSY	4015	33538	Visium	0.8177433333333333	2.13	0.524298
3	libd_dlpfc	Br8100_151675	BANKSY/config_1	1125.26	38.9215	BANKSY	3592	33538	Visium	0.6486916666666667	1.12526	0.585737
4	libd_dlpfc	Br5595_151670	BANKSY/config_1	1986.12	47.5519	BANKSY	3498	33538	Visium	0.7925316666666667	1.9861199999999999	0.382662
5	libd_dlpfc	Br5595_151671	BANKSY/config_1	2212.86	52.6788	BANKSY	4110	33538	Visium	0.8779800000000001	2.21286	0.568729
6	libd_dlpfc	Br5292_151509	BANKSY/config_1	2295.1	49.8306	BANKSY	4789	33538	Visium	0.83051	2.2950999999999997	0.479494
7	libd_dlpfc	Br5292_151510	BANKSY/config_1	2202.68	48.5194	BANKSY	4634	33538	Visium	0.8086566666666666	2.20268	0.491679
8	libd_dlpfc	Br8100_151676	BANKSY/config_1	1428.42	31.5558	BANKSY	3460	33538	Visium	0.52593	1.42842	0.456864
9	libd_dlpfc	Br8100_151673	BANKSY/config_1	1788.79	77.1439	BANKSY	3639	33538	Visium	1.2857316666666667	1.7887899999999999	0.57009
10	libd_dlpfc	Br5595_151669	BANKSY/config_1	1026.34	38.7076	BANKSY	3661	33538	Visium	0.6451266666666666	1.0263399999999998	0.452385
11	libd_dlpfc	Br5292_151508	BANKSY/config_1	2065.21	55.1994	BANKSY	4384	33538	Visium	0.91999	2.06521	0.508651
12	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	BANKSY/config_1	2395.2	48.6944	BANKSY	3798	36601	Visium	0.8115733333333334	2.3952	0.0393737
13	visium_chicken_heart	sample_D4	BANKSY/config_1	1064.81	15.2712	BANKSY	747	24356	Visium	0.25452	1.06481	0.208964
14	visium_chicken_heart	sample_D14	BANKSY/config_1	1060.04	28.3265	BANKSY	1967	24356	Visium	0.4721083333333333	1.0600399999999999	0.346764
15	visium_chicken_heart	sample_D7	BANKSY/config_1	896.9	28.3828	BANKSY	1966	24356	Visium	0.47304666666666667	0.8969	0.498222
16	visium_chicken_heart	sample_D10	BANKSY/config_1	1014.73	27.9756	BANKSY	1916	24356	Visium	0.46626	1.01473	0.51911
17	STARmap_plus	well09	BANKSY/config_1	7095.37	468.7734	BANKSY	50603	1022	Starmap+	7.8128899999999994	7.09537	0.5741
18	STARmap_plus	well01brain	BANKSY/config_1	4177.86	232.4794	BANKSY	29623	1022	Starmap+	3.8746566666666666	4.17786	0.155622
19	STARmap_plus	well05	BANKSY/config_1	6668.57	453.4874	BANKSY	46184	1022	Starmap+	7.558123333333333	6.66857	0.303111
20	STARmap_plus	well03	BANKSY/config_1	5094.43	199.3568	BANKSY	36954	1022	Starmap+	3.3226133333333334	5.09443	0.263702
21	STARmap_plus	well08	BANKSY/config_1	6901.53	379.5846	BANKSY	48306	1022	Starmap+	6.32641	6.90153	0.652629
22	STARmap_plus	well07	BANKSY/config_1	5959.2	354.2175	BANKSY	45268	1022	Starmap+	5.903625	5.9592	0.417434
23	STARmap_plus	well06	BANKSY/config_1	7342.72	495.0227	BANKSY	58117	1022	Starmap+	8.250378333333334	7.34272	0.398106
24	STARmap_plus	well11	BANKSY/config_1	6161.44	266.879	BANKSY	43341	1022	Starmap+	4.447983333333334	6.16144	0.302284
25	STARmap_plus	well10	BANKSY/config_1	7365.29	758.5819	BANKSY	63343	1022	Starmap+	12.643031666666667	7.36529	0.628348
26	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	BANKSY/config_1	7458.9	733.9331	BANKSY	90145	500	MERFISH	12.232218333333332	7.4589	0.252077
27	abc_atlas_wmb_thalamus	C57BL6J-638850_6400	BANKSY/config_1	8946.86	804.2023	BANKSY	115779	500	MERFISH	13.403371666666667	8.946860000000001	0.164843
28	abc_atlas_wmb_thalamus	C57BL6J-638850_8000	BANKSY/config_1	8598.22	1004.226	BANKSY	112169	500	MERFISH	16.7371	8.59822	0.239931
29	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	BANKSY/config_1	7559.04	784.0723	BANKSY	104572	500	MERFISH	13.067871666666667	7.5590399999999995	0.228637
30	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	BANKSY/config_1	8023.98	1302.0072	BANKSY	120186	500	MERFISH	21.700120000000002	8.02398	0.221287
31	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	BANKSY/config_1	7430.95	466.753	BANKSY	99806	500	MERFISH	7.779216666666667	7.43095	0.23869
32	xenium-mouse-brain-SergioSalas	region_main	BANKSY/config_1	6987.73	1733.1032	BANKSY	142991	248	Xenium	28.885053333333335	6.98773	0.17863
38	libd_dlpfc	Br5595_151671	BANKSY/config_2	1069.57	40.2182	BANKSY	4110	33538	Visium	0.6703033333333334	1.06957	0.483078
39	libd_dlpfc	Br5292_151509	BANKSY/config_2	1110.41	34.1774	BANKSY	4789	33538	Visium	0.5696233333333333	1.1104100000000001	0.568694
40	libd_dlpfc	Br5292_151510	BANKSY/config_2	832.73	35.9928	BANKSY	4634	33538	Visium	0.5998800000000001	0.83273	0.523771
41	libd_dlpfc	Br8100_151676	BANKSY/config_2	1658.89	50.3321	BANKSY	3460	33538	Visium	0.8388683333333333	1.6588900000000002	0.574064
42	libd_dlpfc	Br8100_151673	BANKSY/config_2	1057.97	31.5503	BANKSY	3639	33538	Visium	0.5258383333333333	1.05797	0.391626
43	libd_dlpfc	Br5595_151669	BANKSY/config_2	1362.21	25.8104	BANKSY	3661	33538	Visium	0.43017333333333335	1.3622100000000001	0.589955
44	libd_dlpfc	Br5292_151508	BANKSY/config_2	1272.47	32.5509	BANKSY	4384	33538	Visium	0.542515	1.27247	0.471523
45	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	BANKSY/config_2	2391.54	47.5697	BANKSY	3798	36601	Visium	0.7928283333333332	2.39154	0.474215
46	visium_chicken_heart	sample_D4	BANKSY/config_2	893.83	17.7143	BANKSY	747	24356	Visium	0.2952383333333334	0.89383	0.463825
47	visium_chicken_heart	sample_D14	BANKSY/config_2	1289.89	21.0447	BANKSY	1967	24356	Visium	0.350745	1.2898900000000002	0.559021
48	visium_chicken_heart	sample_D7	BANKSY/config_2	1344.34	18.6985	BANKSY	1966	24356	Visium	0.31164166666666665	1.3443399999999999	0.454048
49	visium_chicken_heart	sample_D10	BANKSY/config_2	988.62	23.28	BANKSY	1916	24356	Visium	0.388	0.98862	0.485139
50	STARmap_plus	well09	BANKSY/config_2	4702.53	336.767	BANKSY	50603	1022	Starmap+	5.612783333333334	4.702529999999999	-0.0318116
51	STARmap_plus	well01brain	BANKSY/config_2	3170.59	307.9489	BANKSY	29623	1022	Starmap+	5.132481666666666	3.1705900000000002	0.210198
52	STARmap_plus	well05	BANKSY/config_2	4434.59	531.5725	BANKSY	46184	1022	Starmap+	8.859541666666667	4.43459	0.360062
